,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.71484375,0.359375,0.06298828125,0.0203857421875,0.384765625,-0.002044677734375,0.018798828125,0.1455078125,0.015869140625,0.095703125,0.392578125,0.3984375,0.265625,0.310546875,0.05078125,0.404296875,0.00634765625,0.002410888671875,0.1162109375,0.1591796875
a black haired woman dressed in white,0.37109375,0.5234375,0.0419921875,0.003936767578125,0.3515625,-0.0185546875,0.014892578125,0.2177734375,0.01953125,0.023193359375,0.12353515625,0.53515625,0.28125,0.55859375,0.04833984375,0.259765625,0.007293701171875,0.010009765625,0.12109375,0.19921875
a black vase of red flowers in the red background,0.177734375,0.2421875,0.337890625,-0.000164031982421875,0.298828125,0.01531982421875,-0.032958984375,0.185546875,-0.002105712890625,0.0269775390625,0.0654296875,0.318359375,0.466796875,0.24609375,0.0673828125,0.1455078125,0.037109375,0.275390625,0.1044921875,0.166015625
a duck,0.0859375,0.130859375,0.056396484375,0.34765625,0.09716796875,0.00567626953125,-0.0107421875,0.049560546875,0.022705078125,0.026123046875,0.05517578125,0.1298828125,0.095703125,0.11572265625,0.06640625,0.080078125,0.0279541015625,-0.000732421875,0.05419921875,0.05908203125
a family having dinner,0.349609375,0.341796875,0.041259765625,0.00083160400390625,0.609375,0.00482177734375,0.02294921875,0.18359375,0.00176239013671875,-0.0196533203125,0.142578125,0.51171875,0.267578125,0.3359375,0.0306396484375,0.29296875,-0.0128173828125,0.020263671875,0.1376953125,0.146484375
a forest with 3 tall trees standing out,0.1494140625,0.1904296875,0.049072265625,0.05029296875,0.1416015625,0.330078125,0.1533203125,0.330078125,0.05810546875,0.032470703125,0.0869140625,0.2119140625,0.203125,0.177734375,0.0203857421875,0.0966796875,0.2451171875,0.0517578125,0.12890625,0.470703125
a forest with a cabin in the middle,0.1171875,0.15625,-0.0032501220703125,0.01361083984375,0.12353515625,0.23046875,0.5234375,0.2578125,-0.0125732421875,-0.0439453125,0.046875,0.2001953125,0.138671875,0.15234375,0.0322265625,0.08837890625,0.353515625,0.006744384765625,0.08837890625,0.1611328125
a forest with houses in front,0.1494140625,0.189453125,0.01226806640625,0.0189208984375,0.146484375,0.33203125,0.365234375,0.375,0.01806640625,-0.02685546875,0.076171875,0.216796875,0.2060546875,0.18359375,0.02880859375,0.1298828125,0.11328125,0.06884765625,0.042724609375,0.32421875
a house with some trees with people standing on the grass,0.1376953125,0.1943359375,-0.004180908203125,0.01446533203125,0.146484375,0.1689453125,0.057373046875,0.2578125,0.216796875,0.006378173828125,0.0693359375,0.2109375,0.162109375,0.2080078125,0.0133056640625,0.11669921875,0.0322265625,0.0306396484375,0.07763671875,0.2451171875
a man in black tuxedo standing,0.5078125,0.49609375,0.043701171875,0.01806640625,0.3046875,0.0033721923828125,0.0242919921875,0.1357421875,0.045654296875,0.2060546875,0.59375,0.48828125,0.271484375,0.44140625,0.1279296875,0.341796875,-0.0042724609375,-0.002777099609375,0.1025390625,0.2080078125
a man with moustache in a black suit,0.5234375,0.421875,0.0216064453125,0.01531982421875,0.28125,0.0166015625,0.04638671875,0.11962890625,0.030029296875,0.203125,0.6171875,0.423828125,0.2431640625,0.3984375,0.16015625,0.32421875,-0.0172119140625,0.017333984375,0.1201171875,0.1875
"a mother, a daughter and a son",0.357421875,0.486328125,0.06396484375,0.0255126953125,0.408203125,-0.021728515625,0.003326416015625,0.2177734375,0.0277099609375,0.0380859375,0.2265625,0.5859375,0.271484375,0.48828125,0.0264892578125,0.255859375,0.00830078125,0.003570556640625,0.08935546875,0.1962890625
a pot of flowers near the closed window in the back,0.171875,0.1923828125,0.166015625,-0.01104736328125,0.28125,0.01385498046875,0.018310546875,0.1240234375,-0.00457763671875,0.0206298828125,0.0595703125,0.2314453125,0.37109375,0.2080078125,0.0208740234375,0.125,0.031494140625,0.07275390625,0.0908203125,0.12353515625
a red haired woman in a green dress,0.2890625,0.59765625,0.05126953125,0.0279541015625,0.3125,0.004180908203125,0.0062255859375,0.177734375,0.041015625,0.0205078125,0.2041015625,0.48828125,0.2197265625,0.494140625,0.10107421875,0.20703125,0.0205078125,-0.01104736328125,0.109375,0.1708984375
a statue of a man head,0.333984375,0.208984375,0.01214599609375,0.01226806640625,0.0654296875,-0.003997802734375,0.007568359375,0.0517578125,0.02880859375,0.091796875,0.294921875,0.19921875,0.09130859375,0.1865234375,0.70703125,0.1728515625,-0.006134033203125,0.019775390625,0.07861328125,0.060546875
bald men in black sitting in a dark room,0.4609375,0.212890625,0.06787109375,-0.0203857421875,0.28515625,0.0189208984375,0.0005645751953125,0.1064453125,0.01324462890625,0.035888671875,0.2333984375,0.32421875,0.1748046875,0.25,0.05224609375,0.302734375,-0.037353515625,-0.000453948974609375,0.04052734375,0.1103515625
