,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7699114680290222,0.5522081255912781,0.4358840882778168,0.40201717615127563,0.5822303295135498,0.4358096420764923,0.3285755515098572,0.5466490983963013,0.4173140525817871,0.41780441999435425,0.7310566902160645,0.5243594646453857,0.5260792374610901,0.5506094694137573,0.5471240282058716,0.5443902015686035,0.38713833689689636,0.39925840497016907,0.4548153877258301,0.5194944143295288
a black haired woman dressed in white,0.6235072612762451,0.7025266289710999,0.5233409404754639,0.4740847945213318,0.6705390214920044,0.5082268118858337,0.3758837580680847,0.6445372104644775,0.5059388279914856,0.4592292904853821,0.5835211277008057,0.723216712474823,0.6467626690864563,0.7575114965438843,0.5482979416847229,0.5483697652816772,0.48494499921798706,0.48013362288475037,0.5607620477676392,0.6280246376991272
a black vase of red flowers in the red background,0.5005825757980347,0.6193654537200928,0.7147084474563599,0.486333429813385,0.5818390250205994,0.5719168782234192,0.4165020287036896,0.6804519891738892,0.5379208922386169,0.4539991617202759,0.4438495337963104,0.6563214063644409,0.7509123682975769,0.6850456595420837,0.5226764678955078,0.5628591775894165,0.5705244541168213,0.6459356546401978,0.5589562654495239,0.6426770687103271
a duck,0.39499300718307495,0.4501011073589325,0.5866219401359558,0.6491641998291016,0.43315038084983826,0.5661324858665466,0.43224772810935974,0.5374089479446411,0.5069385766983032,0.5092036724090576,0.4792673885822296,0.5145864486694336,0.4357370138168335,0.5000361204147339,0.5555817484855652,0.5307295918464661,0.6412072777748108,0.47707492113113403,0.4390716850757599,0.5565057396888733
a family having dinner,0.5307382345199585,0.5412619113922119,0.5079261064529419,0.4801976680755615,0.7543039321899414,0.5236228108406067,0.46568307280540466,0.6507678031921387,0.4790416657924652,0.4228304326534271,0.49217891693115234,0.6661087274551392,0.5663303136825562,0.564520001411438,0.49251434206962585,0.6068805456161499,0.5264641046524048,0.5403310060501099,0.5970437526702881,0.5775213837623596
a forest with 3 tall trees standing out,0.531523585319519,0.6047487258911133,0.6751602292060852,0.6407440900802612,0.5963635444641113,0.8074105978012085,0.6779501438140869,0.7656955718994141,0.663199245929718,0.5777308940887451,0.4735250473022461,0.6600388288497925,0.7311649322509766,0.6869946718215942,0.581497311592102,0.620233952999115,0.7508618831634521,0.6896945238113403,0.7010030150413513,0.8355104327201843
a forest with a cabin in the middle,0.5401545763015747,0.6080034971237183,0.551706075668335,0.5199856758117676,0.6133025288581848,0.7239450812339783,0.6717963814735413,0.7932038307189941,0.6045907735824585,0.4332529306411743,0.44950759410858154,0.6727778911590576,0.7167477607727051,0.69629967212677,0.5233170390129089,0.5364358425140381,0.600243091583252,0.5376654863357544,0.6185000538825989,0.7883673906326294
a forest with houses in front,0.5368037819862366,0.532583475112915,0.4782498776912689,0.43106693029403687,0.5744946599006653,0.6619606614112854,0.5749255418777466,0.7823508977890015,0.5415728092193604,0.35227373242378235,0.4420742094516754,0.6095817685127258,0.6631726026535034,0.6333140134811401,0.48692142963409424,0.4543318748474121,0.5221092700958252,0.495639443397522,0.5258926153182983,0.7284930348396301
a house with some trees with people standing on the grass,0.592531681060791,0.5698034763336182,0.514423131942749,0.45327743887901306,0.6683476567268372,0.6235116720199585,0.5017968416213989,0.75162672996521,0.6142026782035828,0.42468565702438354,0.44545531272888184,0.6985507607460022,0.6709645986557007,0.7296609878540039,0.46679988503456116,0.5344078540802002,0.4809754490852356,0.500686764717102,0.6016501188278198,0.7064898014068604
a man in black tuxedo standing,0.6966817378997803,0.6046587228775024,0.5080231428146362,0.44261232018470764,0.6222966909408569,0.479971706867218,0.37403416633605957,0.5872350931167603,0.4876123070716858,0.49694570899009705,0.7841694355010986,0.5829187631607056,0.5616003274917603,0.6384365558624268,0.6159083843231201,0.5839513540267944,0.45035821199417114,0.4308455288410187,0.4764367341995239,0.5809286832809448
