,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.6796875,0.36328125,0.263671875,0.0703125,0.453125,0.034912109375,0.019775390625,0.1640625,0.00439453125,0.0986328125,0.50390625,0.388671875,0.28125,0.353515625,0.05419921875,0.44921875,0.01025390625,0.1552734375,0.13671875,0.181640625
a black haired woman dressed in white,0.388671875,0.5234375,0.287109375,0.04736328125,0.419921875,0.02001953125,0.0076904296875,0.2412109375,0.04443359375,0.0245361328125,0.251953125,0.515625,0.298828125,0.61328125,0.049072265625,0.275390625,0.01806640625,0.1611328125,0.16015625,0.2333984375
a black vase of red flowers in the red background,0.1845703125,0.240234375,0.50390625,0.048583984375,0.345703125,0.053466796875,-0.047607421875,0.205078125,0.01611328125,0.001312255859375,0.1328125,0.314453125,0.48046875,0.291015625,0.07080078125,0.1796875,0.07861328125,0.392578125,0.11181640625,0.1767578125
a duck,0.0986328125,0.12890625,0.11767578125,0.466796875,0.10546875,0.0281982421875,0.00665283203125,0.056884765625,0.039306640625,0.0228271484375,0.08447265625,0.130859375,0.099609375,0.1318359375,0.06640625,0.09912109375,0.046630859375,0.03271484375,0.06396484375,0.06201171875
a family having dinner,0.3671875,0.345703125,0.2177734375,0.028076171875,0.6484375,0.0439453125,0.0242919921875,0.2099609375,0.0361328125,-0.0030670166015625,0.232421875,0.482421875,0.287109375,0.37109375,0.0279541015625,0.314453125,0.0022735595703125,0.1484375,0.1708984375,0.1611328125
a forest with 3 tall trees standing out,0.15625,0.193359375,0.1689453125,0.06884765625,0.166015625,0.40625,0.1298828125,0.32421875,0.06982421875,0.039794921875,0.1396484375,0.19140625,0.2080078125,0.2041015625,0.018310546875,0.10986328125,0.220703125,0.1494140625,0.12255859375,0.49609375
a forest with a cabin in the middle,0.123046875,0.1552734375,0.09033203125,-0.0024261474609375,0.150390625,0.296875,0.46484375,0.275390625,0.06982421875,-0.044677734375,0.091796875,0.1884765625,0.1435546875,0.1708984375,0.033935546875,0.107421875,0.35546875,0.07763671875,0.08544921875,0.1806640625
a forest with houses in front,0.1591796875,0.1865234375,0.142578125,0.031982421875,0.1748046875,0.419921875,0.326171875,0.435546875,0.0947265625,-0.02197265625,0.134765625,0.19921875,0.208984375,0.20703125,0.0267333984375,0.138671875,0.1435546875,0.1494140625,0.06494140625,0.357421875
a house with some trees with people standing on the grass,0.1416015625,0.19140625,0.1162109375,0.034423828125,0.1640625,0.2255859375,0.05029296875,0.263671875,0.1650390625,0.0174560546875,0.1259765625,0.189453125,0.173828125,0.2265625,0.01519775390625,0.125,0.03759765625,0.08154296875,0.10546875,0.275390625
a man in black tuxedo standing,0.486328125,0.51953125,0.28125,0.06787109375,0.408203125,0.04736328125,0.0211181640625,0.16796875,0.02587890625,0.20703125,0.73828125,0.470703125,0.29296875,0.49609375,0.1328125,0.396484375,-0.00013065338134765625,0.11865234375,0.11669921875,0.240234375
a man with moustache in a black suit,0.49609375,0.447265625,0.23828125,0.05517578125,0.375,0.058349609375,0.036376953125,0.15234375,0.00665283203125,0.2021484375,0.7578125,0.41015625,0.26171875,0.46484375,0.1591796875,0.38671875,-0.01513671875,0.1376953125,0.1513671875,0.216796875
"a mother, a daughter and a son",0.3671875,0.51171875,0.294921875,0.057373046875,0.51171875,0.0167236328125,0.0004329681396484375,0.2470703125,0.03369140625,0.0439453125,0.33984375,0.578125,0.29296875,0.5625,0.0281982421875,0.318359375,0.017822265625,0.12890625,0.11865234375,0.2236328125
a pot of flowers near the closed window in the back,0.171875,0.1943359375,0.365234375,0.0216064453125,0.30078125,0.0478515625,0.00341796875,0.138671875,0.00494384765625,0.0252685546875,0.1337890625,0.2333984375,0.388671875,0.23046875,0.0242919921875,0.1416015625,0.04052734375,0.1630859375,0.103515625,0.1435546875
a red haired woman in a green dress,0.29296875,0.65625,0.193359375,0.040283203125,0.392578125,0.0296630859375,0.00121307373046875,0.216796875,0.037841796875,0.041748046875,0.29296875,0.46875,0.232421875,0.5625,0.1015625,0.2353515625,0.03271484375,0.0859375,0.1494140625,0.193359375
a statue of a man head,0.328125,0.2275390625,0.09521484375,0.037841796875,0.08935546875,0.00799560546875,0.01361083984375,0.07470703125,0.0228271484375,0.0966796875,0.3671875,0.1943359375,0.10205078125,0.2158203125,0.71875,0.1923828125,-0.0029754638671875,0.06689453125,0.0654296875,0.06884765625
