,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7394677400588989,0.5400683879852295,0.4127291440963745,0.3439728915691376,0.5300507545471191,0.3586246371269226,0.32065874338150024,0.5422520637512207,0.3859112560749054,0.41474729776382446,0.7018976807594299,0.4660627245903015,0.5003728866577148,0.5306097269058228,0.5305896401405334,0.5360636711120605,0.38149386644363403,0.3269667625427246,0.4184964895248413,0.49806201457977295
a black haired woman dressed in white,0.611017644405365,0.6874847412109375,0.4986667037010193,0.39237767457962036,0.6182286739349365,0.41770899295806885,0.3645692765712738,0.6295593976974487,0.44396257400512695,0.4685975909233093,0.605690598487854,0.686431348323822,0.6319446563720703,0.73443603515625,0.5478699207305908,0.5337734222412109,0.4708467423915863,0.42675265669822693,0.533363401889801,0.6152960062026978
a black vase of red flowers in the red background,0.5369476079940796,0.6065854430198669,0.6755071878433228,0.4072412848472595,0.5539748072624207,0.49296849966049194,0.4018717408180237,0.6557362079620361,0.47215014696121216,0.4604237675666809,0.43993330001831055,0.6377304196357727,0.7268374562263489,0.6320814490318298,0.5271322131156921,0.509528636932373,0.5560082197189331,0.60097336769104,0.5318474769592285,0.6353873014450073
a duck,0.4442766308784485,0.44563525915145874,0.5384024977684021,0.5785499215126038,0.43639618158340454,0.5206116437911987,0.41121286153793335,0.5194439888000488,0.43399912118911743,0.5040959715843201,0.49842238426208496,0.48174047470092773,0.43328404426574707,0.49677038192749023,0.5551317930221558,0.4833638072013855,0.6359592080116272,0.4027233421802521,0.4171084761619568,0.5746408104896545
a family having dinner,0.5127661824226379,0.5310840606689453,0.47247314453125,0.43510666489601135,0.7747653126716614,0.44934961199760437,0.44317564368247986,0.6526665091514587,0.42636725306510925,0.42235106229782104,0.49128150939941406,0.6213737726211548,0.5534628033638,0.5581225752830505,0.49268633127212524,0.6047244071960449,0.5097795724868774,0.44459617137908936,0.5509241819381714,0.5767847895622253
a forest with 3 tall trees standing out,0.5349127054214478,0.6054348945617676,0.6473775506019592,0.5991207957267761,0.6247918605804443,0.7271144390106201,0.6593065857887268,0.7497473955154419,0.5862541794776917,0.5833743810653687,0.5018100142478943,0.6249634623527527,0.7367732524871826,0.6603742837905884,0.5676681995391846,0.5784347653388977,0.7441487312316895,0.6222996711730957,0.6950644850730896,0.8421465158462524
a forest with a cabin in the middle,0.5300042033195496,0.6061389446258545,0.5224652886390686,0.45419007539749146,0.6209777593612671,0.6432554125785828,0.6579736471176147,0.7770977020263672,0.5476873517036438,0.42944827675819397,0.45726749300956726,0.6270602345466614,0.7154175043106079,0.6617239713668823,0.515405535697937,0.5205954909324646,0.5795407891273499,0.4884839355945587,0.6077293157577515,0.7678618431091309
a forest with houses in front,0.5315774083137512,0.5179636478424072,0.4426373839378357,0.3551543653011322,0.5535374879837036,0.5642567873001099,0.5663895606994629,0.7716366648674011,0.49752843379974365,0.3374149203300476,0.44492387771606445,0.5741516351699829,0.6493809223175049,0.5999599099159241,0.46859419345855713,0.44856446981430054,0.49632519483566284,0.4240652322769165,0.5078648328781128,0.6978373527526855
a house with some trees with people standing on the grass,0.5657591819763184,0.565133810043335,0.4884897470474243,0.3860400915145874,0.6346634030342102,0.5211514830589294,0.4887475073337555,0.7577996253967285,0.5669503211975098,0.4086056053638458,0.4600284695625305,0.6371133327484131,0.6579950451850891,0.7068572640419006,0.4700619578361511,0.5308413505554199,0.46547120809555054,0.4339331388473511,0.5834317207336426,0.682161808013916
a man in black tuxedo standing,0.6767978668212891,0.6040629148483276,0.4821781516075134,0.378190279006958,0.565311074256897,0.4036392569541931,0.3667289912700653,0.5812837481498718,0.4362160265445709,0.5058646202087402,0.7859793901443481,0.5354628562927246,0.5381439924240112,0.6279975175857544,0.6062452793121338,0.5457348823547363,0.44146350026130676,0.3757269084453583,0.44578778743743896,0.5568538308143616
a man with moustache in a black suit,0.6971660852432251,0.5505324602127075,0.39809703826904297,0.3406597375869751,0.5293653011322021,0.3523409962654114,0.31612932682037354,0.5133284330368042,0.39129048585891724,0.4481040835380554,0.7016980648040771,0.48351019620895386,0.48037585616111755,0.5974364280700684,0.6034462451934814,0.5232300162315369,0.37674081325531006,0.32663923501968384,0.4202822148799896,0.5204530954360962
"a mother, a daughter and a son",0.5941414833068848,0.6346096396446228,0.5611636638641357,0.4243965744972229,0.7632019519805908,0.47120824456214905,0.4485965967178345,0.6622428297996521,0.48092207312583923,0.4990190863609314,0.5295928120613098,0.7474769353866577,0.6784944534301758,0.6813921332359314,0.5279433727264404,0.6151719093322754,0.5053160190582275,0.47076216340065,0.5943707227706909,0.6455286741256714
a pot of flowers near the closed window in the back,0.42677438259124756,0.5900376439094543,0.6840157508850098,0.44939497113227844,0.6163432598114014,0.4803120195865631,0.44929975271224976,0.6100884675979614,0.4645769000053406,0.4900304079055786,0.4140981435775757,0.5841326713562012,0.7860267758369446,0.5804206728935242,0.4889252781867981,0.5456415414810181,0.5794541835784912,0.6247836351394653,0.596204936504364,0.6570568084716797
a red haired woman in a green dress,0.5037825107574463,0.6329305768013,0.5647231936454773,0.4653337001800537,0.5839613676071167,0.4540645182132721,0.3890751004219055,0.5558308362960815,0.4574606120586395,0.5224029421806335,0.5838534235954285,0.6096442937850952,0.5919449329376221,0.658727765083313,0.6121390461921692,0.579319953918457,0.5026988983154297,0.4784468412399292,0.5060637593269348,0.590955376625061
a statue of a man head,0.6686323881149292,0.5082430243492126,0.45439550280570984,0.40293416380882263,0.45661377906799316,0.4202078878879547,0.3664698898792267,0.5093153715133667,0.3653537929058075,0.4642062485218048,0.5618604421615601,0.541225016117096,0.458294153213501,0.5092547535896301,0.7186864614486694,0.5512641668319702,0.4926733374595642,0.38520336151123047,0.44221338629722595,0.5740407109260559
bald men in black sitting in a dark room,0.6354665756225586,0.512972354888916,0.4438609778881073,0.3806018829345703,0.6595624685287476,0.4010803699493408,0.36349526047706604,0.5483675599098206,0.43506938219070435,0.4500744640827179,0.5767108798027039,0.5968396067619324,0.5190573930740356,0.555573582649231,0.5692416429519653,0.6930968165397644,0.44545257091522217,0.35902389883995056,0.44514524936676025,0.576077938079834
forest with white tree barks,0.4646771252155304,0.5842313766479492,0.6347686052322388,0.5685177445411682,0.5687103271484375,0.6992021799087524,0.6505973935127258,0.7279391288757324,0.5508777499198914,0.5716633796691895,0.40581104159355164,0.6028271913528442,0.7003705501556396,0.6002878546714783,0.4893661141395569,0.547039270401001,0.752724289894104,0.629442572593689,0.7212027311325073,0.8198445439338684
multiple jars of flowers,0.5320956707000732,0.5926181077957153,0.730089545249939,0.4479066729545593,0.6028677225112915,0.5446021556854248,0.4498399496078491,0.7105761766433716,0.5441985726356506,0.5556656122207642,0.4753514528274536,0.6440789103507996,0.7536450028419495,0.61884605884552,0.5429468154907227,0.5625855922698975,0.6095055937767029,0.6640540957450867,0.6230505704879761,0.6815338134765625
people socializing downtown,0.5394384264945984,0.4709319472312927,0.41359660029411316,0.4046696424484253,0.6674114465713501,0.431873619556427,0.4047200083732605,0.674950897693634,0.4281567931175232,0.3958800435066223,0.4707464873790741,0.6136345863342285,0.5487545132637024,0.584845781326294,0.46638867259025574,0.5232048034667969,0.4564151167869568,0.40446221828460693,0.6164652109146118,0.6091715693473816
some trees with a pond in the background,0.5757238864898682,0.5633959770202637,0.5605137944221497,0.5258287787437439,0.5764340162277222,0.6523809432983398,0.5659275650978088,0.7815811038017273,0.5414159297943115,0.49932312965393066,0.4987281858921051,0.6413495540618896,0.6514662504196167,0.6336767673492432,0.542290985584259,0.5443046689033508,0.672595202922821,0.52874755859375,0.6084190607070923,0.8403735160827637
