,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7752636671066284,0.5789753198623657,0.4753424823284149,0.40333738923072815,0.5222903490066528,0.5304055213928223,0.4493304491043091,0.5027115345001221,0.5539034008979797,0.43505772948265076,0.7484682202339172,0.5132926106452942,0.5207217931747437,0.5650877356529236,0.5538437366485596,0.48533639311790466,0.3973022699356079,0.39961373805999756,0.4755825698375702,0.5053128004074097
a black haired woman dressed in white,0.6272068619728088,0.7276532649993896,0.5696057081222534,0.48546597361564636,0.6379316449165344,0.6299186944961548,0.5395421981811523,0.6026670932769775,0.660656213760376,0.5371832251548767,0.6464972496032715,0.6725304126739502,0.6463032364845276,0.7648769021034241,0.5265650749206543,0.49250948429107666,0.49666839838027954,0.47462138533592224,0.5766017436981201,0.6208857893943787
a black vase of red flowers in the red background,0.5207677483558655,0.6323549747467041,0.7674205303192139,0.5251973867416382,0.5726621747016907,0.6608982086181641,0.5354040861129761,0.6577204465866089,0.6839627027511597,0.524422287940979,0.577163577079773,0.6546573638916016,0.7529897689819336,0.7093088030815125,0.5322390198707581,0.5317399501800537,0.5998587608337402,0.6296026706695557,0.5711702704429626,0.6213111281394958
a duck,0.426334410905838,0.45712894201278687,0.5549634695053101,0.663318932056427,0.48291051387786865,0.5538805723190308,0.4899270236492157,0.598415195941925,0.4568050503730774,0.48042553663253784,0.44159820675849915,0.5128512978553772,0.4546125829219818,0.5334818363189697,0.5129950642585754,0.49866870045661926,0.6057687401771545,0.5307818055152893,0.45378580689430237,0.6024686098098755
a family having dinner,0.5638220906257629,0.5516239404678345,0.5270767211914062,0.4868878126144409,0.7374366521835327,0.5874843597412109,0.5933913588523865,0.5895264148712158,0.610579252243042,0.42376357316970825,0.5577658414840698,0.6258244514465332,0.5723326206207275,0.5814205408096313,0.48440372943878174,0.5500096082687378,0.5195251703262329,0.5485618114471436,0.6266202330589294,0.5766783952713013
a forest with 3 tall trees standing out,0.5500632524490356,0.615163266658783,0.7014418244361877,0.6497012376785278,0.6460502743721008,0.825616717338562,0.802128255367279,0.7759968638420105,0.7425128221511841,0.5786766409873962,0.5657405853271484,0.6795724630355835,0.7383064031600952,0.7100399136543274,0.5674105882644653,0.5711252093315125,0.7865487337112427,0.7004738450050354,0.6862764358520508,0.8341395854949951
a forest with a cabin in the middle,0.5794671773910522,0.6237274408340454,0.5955302715301514,0.5377668142318726,0.6094459295272827,0.8053748607635498,0.8028907179832458,0.7458769679069519,0.8228479027748108,0.4808366596698761,0.5559907555580139,0.6281353831291199,0.7183858752250671,0.703811526298523,0.5180768966674805,0.49229681491851807,0.6502453088760376,0.5282080769538879,0.6246249079704285,0.7473965883255005
a forest with houses in front,0.5618651509284973,0.5551172494888306,0.5259222388267517,0.46229448914527893,0.5486673712730408,0.7836816310882568,0.7381950616836548,0.7084023356437683,0.790507435798645,0.4038630723953247,0.5382834672927856,0.5733402967453003,0.663053035736084,0.6346533298492432,0.4678712487220764,0.43509015440940857,0.5604667663574219,0.46959441900253296,0.546777606010437,0.6658192873001099
a house with some trees with people standing on the grass,0.5949790477752686,0.6006763577461243,0.5563772916793823,0.4652477204799652,0.6433321833610535,0.7348995208740234,0.6491349935531616,0.6798096895217896,0.827006995677948,0.45096656680107117,0.597272515296936,0.6374171376228333,0.6837019920349121,0.7160451412200928,0.47307252883911133,0.4996525049209595,0.5130940675735474,0.48104381561279297,0.6297149658203125,0.6939847469329834
a man in black tuxedo standing,0.6983832716941833,0.6553021669387817,0.5528709888458252,0.4551732540130615,0.587780773639679,0.5930691957473755,0.512811541557312,0.5714263319969177,0.6155548095703125,0.5555598735809326,0.8062053322792053,0.5736570358276367,0.5628384351730347,0.6520354747772217,0.5854180455207825,0.529273509979248,0.4530728757381439,0.44264647364616394,0.507125973701477,0.5766856670379639
a man with moustache in a black suit,0.699349045753479,0.5884446501731873,0.46065086126327515,0.43958449363708496,0.5623652935028076,0.5505532622337341,0.4774322509765625,0.5079277157783508,0.5343247652053833,0.5049395561218262,0.7642470598220825,0.5407981872558594,0.5093168616294861,0.6050833463668823,0.5934832096099854,0.514555037021637,0.3946678638458252,0.3703232407569885,0.4878665804862976,0.527273416519165
"a mother, a daughter and a son",0.6405846476554871,0.672685980796814,0.6326166391372681,0.48822221159935,0.7567844986915588,0.662804126739502,0.624295175075531,0.6485193371772766,0.6947227716445923,0.5532447099685669,0.6823614239692688,0.7638629674911499,0.6992352604866028,0.7199914455413818,0.5448570847511292,0.5946444272994995,0.5329908132553101,0.5122596025466919,0.6555675268173218,0.6353487968444824
a pot of flowers near the closed window in the back,0.4332992136478424,0.5742251873016357,0.7521203756332397,0.5230146050453186,0.5877614617347717,0.6118271946907043,0.6007276773452759,0.5965349674224854,0.5971060395240784,0.5427900552749634,0.48916149139404297,0.6089130640029907,0.7637929320335388,0.6275930404663086,0.488580584526062,0.5027056932449341,0.6069868803024292,0.6288853883743286,0.5962314605712891,0.6158037781715393
a red haired woman in a green dress,0.5094597339630127,0.6542257070541382,0.6035566329956055,0.4973212480545044,0.6017224788665771,0.580003023147583,0.5313096046447754,0.5654875040054321,0.5510295033454895,0.5413233637809753,0.5879606008529663,0.6289117932319641,0.5996791124343872,0.6712341904640198,0.5955471992492676,0.5509740710258484,0.5204570293426514,0.5465717911720276,0.5236144065856934,0.5920521020889282
a statue of a man head,0.6372348070144653,0.5269187092781067,0.5138429403305054,0.4658324122428894,0.501482367515564,0.5483710765838623,0.4917501211166382,0.5222806334495544,0.45955416560173035,0.4491811990737915,0.6050409078598022,0.5413317680358887,0.4756764769554138,0.5310589075088501,0.7365490198135376,0.5408577919006348,0.500263512134552,0.4689422845840454,0.47050899267196655,0.5362417697906494
bald men in black sitting in a dark room,0.6772339344024658,0.5599729418754578,0.4885406196117401,0.4265769124031067,0.6998986005783081,0.5908342003822327,0.5475952625274658,0.5184582471847534,0.5836008191108704,0.467964768409729,0.6274877190589905,0.5815724730491638,0.5470748543739319,0.5713343024253845,0.571136474609375,0.6519288420677185,0.4523804783821106,0.4222467243671417,0.506868839263916,0.5310441255569458
forest with white tree barks,0.47243428230285645,0.5618751645088196,0.6797961592674255,0.6447471380233765,0.5850479602813721,0.7810394167900085,0.7372523546218872,0.7739571928977966,0.6758008003234863,0.5286126732826233,0.4805848002433777,0.6685221195220947,0.6897584795951843,0.6653008460998535,0.4987506568431854,0.5381191372871399,0.8164277076721191,0.664379358291626,0.6851547956466675,0.805331826210022
multiple jars of flowers,0.5125782489776611,0.6132029294967651,0.797421395778656,0.5258017778396606,0.6087503433227539,0.691428542137146,0.5612834095954895,0.6817606687545776,0.6739718914031982,0.5737854242324829,0.5859903693199158,0.6857579946517944,0.7664711475372314,0.7026948928833008,0.5428495407104492,0.5669220685958862,0.6550123691558838,0.7096869945526123,0.6593368053436279,0.6795758605003357
people socializing downtown,0.5939382314682007,0.5116564631462097,0.47266966104507446,0.43113306164741516,0.6643204689025879,0.626989483833313,0.5680164694786072,0.6120142936706543,0.7138799428939819,0.3891875147819519,0.5932685136795044,0.5847253799438477,0.5682880282402039,0.5854438543319702,0.46790510416030884,0.46038517355918884,0.4541104733943939,0.5094165802001953,0.6608341932296753,0.608511209487915
some trees with a pond in the background,0.5653201341629028,0.578843355178833,0.6301712989807129,0.6264725923538208,0.6145275235176086,0.8173136711120605,0.6998714208602905,0.7894530296325684,0.7489402294158936,0.5147680044174194,0.5733147263526917,0.6669751405715942,0.6708611249923706,0.6967451572418213,0.53986656665802,0.5386368632316589,0.7138900756835938,0.6101115345954895,0.6178432106971741,0.8110794425010681
