,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7699980735778809,0.5521640777587891,0.43588587641716003,0.40196147561073303,0.5822876691818237,0.4358251690864563,0.32851147651672363,0.5465998649597168,0.41736048460006714,0.41778767108917236,0.7311384677886963,0.5243642330169678,0.5260947346687317,0.550560712814331,0.5471664071083069,0.5441725254058838,0.38712650537490845,0.3992096185684204,0.45479103922843933,0.5196617841720581
a black haired woman dressed in white,0.6235089302062988,0.7023894786834717,0.5233608484268188,0.47394290566444397,0.6703796982765198,0.5081753134727478,0.3757183253765106,0.6445306539535522,0.5059200525283813,0.45911261439323425,0.583527147769928,0.7230774164199829,0.6467390060424805,0.7573827505111694,0.5482996106147766,0.5481294989585876,0.48491814732551575,0.4799247980117798,0.5606187582015991,0.6281737089157104
a black vase of red flowers in the red background,0.5007478594779968,0.6193610429763794,0.7145865559577942,0.4862841069698334,0.5819054245948792,0.571868896484375,0.4164265990257263,0.6804471015930176,0.5378649234771729,0.4538070857524872,0.4439581632614136,0.6563642024993896,0.7509040236473083,0.685039758682251,0.5227628350257874,0.5626181960105896,0.570462167263031,0.6457943916320801,0.5588555335998535,0.6428534388542175
a duck,0.3951270282268524,0.4501211643218994,0.586607813835144,0.6492045521736145,0.43318265676498413,0.5661346912384033,0.4321313500404358,0.537545919418335,0.5069265365600586,0.5091179013252258,0.47934821248054504,0.5146290063858032,0.43574458360671997,0.500105619430542,0.5556769371032715,0.5306611657142639,0.641216516494751,0.4770748019218445,0.43900319933891296,0.5564044117927551
a family having dinner,0.5309611558914185,0.5413216352462769,0.507923424243927,0.4801943004131317,0.7544488310813904,0.5237236022949219,0.46565377712249756,0.6508803963661194,0.4791748523712158,0.4228315055370331,0.49225693941116333,0.666202187538147,0.5664752721786499,0.5645820498466492,0.49252384901046753,0.6068556904792786,0.526494562625885,0.5404214859008789,0.5971173048019409,0.5775795578956604
a forest with 3 tall trees standing out,0.5315008163452148,0.6047306060791016,0.6751017570495605,0.640659511089325,0.5963440537452698,0.807377815246582,0.6779002547264099,0.765745997428894,0.6632801294326782,0.5776810050010681,0.47347334027290344,0.6600106358528137,0.7311339974403381,0.6869526505470276,0.5814335346221924,0.6201554536819458,0.7508809566497803,0.6896705627441406,0.7009307146072388,0.8354006409645081
a forest with a cabin in the middle,0.5399643778800964,0.6078618764877319,0.5515948534011841,0.5197464823722839,0.6131317615509033,0.7238163948059082,0.6716447472572327,0.7930527925491333,0.6045610308647156,0.43304958939552307,0.4493377208709717,0.6725742816925049,0.7166183590888977,0.6960993409156799,0.5232917070388794,0.5361654162406921,0.6001589298248291,0.5375059843063354,0.6182899475097656,0.788297176361084
a forest with houses in front,0.5364831686019897,0.5324171781539917,0.47813159227371216,0.4308190643787384,0.5743615627288818,0.6618818044662476,0.5748564600944519,0.7821036577224731,0.5415194630622864,0.3520576059818268,0.44181501865386963,0.609290361404419,0.6630922555923462,0.6330474615097046,0.4868693947792053,0.4540761709213257,0.5221248865127563,0.49556469917297363,0.5257494449615479,0.7284086346626282
a house with some trees with people standing on the grass,0.5924545526504517,0.5695526599884033,0.5141990184783936,0.45308592915534973,0.6682851314544678,0.6234149932861328,0.5016623735427856,0.7514893412590027,0.614199161529541,0.42444345355033875,0.44537585973739624,0.6983723640441895,0.6708890199661255,0.7294703722000122,0.466701865196228,0.5340682864189148,0.48082202672958374,0.5004111528396606,0.6014752388000488,0.7065560817718506
a man in black tuxedo standing,0.6969174146652222,0.6045860052108765,0.5078022480010986,0.44248589873313904,0.6223311424255371,0.4798591732978821,0.3738115131855011,0.5871146321296692,0.48745328187942505,0.49676698446273804,0.7842814922332764,0.5827943682670593,0.5615197420120239,0.6383019685745239,0.6159429550170898,0.5835871696472168,0.4501614272594452,0.43068966269493103,0.4763641953468323,0.5810681581497192
