,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7489458918571472,0.5348010659217834,0.38108721375465393,0.36591285467147827,0.5452555418014526,0.37073126435279846,0.32518869638442993,0.497597873210907,0.3796704411506653,0.40703123807907104,0.6816853284835815,0.4917096793651581,0.5025371313095093,0.5077979564666748,0.5294565558433533,0.5083606839179993,0.3880650997161865,0.2995765805244446,0.3662782311439514,0.4386458992958069
a black haired woman dressed in white,0.58912193775177,0.6884725093841553,0.4704996943473816,0.4099014103412628,0.6775174736976624,0.43043842911720276,0.37768781185150146,0.5873767137527466,0.45043280720710754,0.46523669362068176,0.5858098864555359,0.6914428472518921,0.6355463266372681,0.7187740206718445,0.5343494415283203,0.4912498891353607,0.4896319806575775,0.40192046761512756,0.47969669103622437,0.5358372926712036
a black vase of red flowers in the red background,0.48359614610671997,0.6133387684822083,0.6519503593444824,0.41624605655670166,0.645952582359314,0.5069342255592346,0.409323513507843,0.6192848086357117,0.4717920422554016,0.4503987431526184,0.42526811361312866,0.6362946033477783,0.7305375337600708,0.6106552481651306,0.49915966391563416,0.5090193748474121,0.5764750242233276,0.5809716582298279,0.47493287920951843,0.5761181116104126
a duck,0.4545658230781555,0.45826053619384766,0.5273623466491699,0.5873598456382751,0.47039109468460083,0.531859815120697,0.4253064692020416,0.5445675253868103,0.43948352336883545,0.5101487040519714,0.5026918053627014,0.48763081431388855,0.464924156665802,0.5325817465782166,0.556425929069519,0.5143133997917175,0.6187498569488525,0.41891902685165405,0.4443154036998749,0.5985555648803711
a family having dinner,0.4994751811027527,0.5290282964706421,0.4405670166015625,0.44164150953292847,0.7713761925697327,0.4574635624885559,0.44893646240234375,0.6354435682296753,0.4357469379901886,0.42054423689842224,0.48527467250823975,0.6215292811393738,0.5458290576934814,0.5263547301292419,0.47484248876571655,0.5967814922332764,0.5162568688392639,0.4409254193305969,0.49733757972717285,0.569352924823761
a forest with 3 tall trees standing out,0.5354630351066589,0.5975266695022583,0.6175651550292969,0.5967861413955688,0.6523157358169556,0.7263864278793335,0.6626618504524231,0.7671495079994202,0.5841771364212036,0.5764824748039246,0.4776950180530548,0.6418377161026001,0.7315021753311157,0.6684870719909668,0.5449765920639038,0.5751050710678101,0.7672448754310608,0.6117066144943237,0.6409755945205688,0.8378093838691711
a forest with a cabin in the middle,0.5162046551704407,0.5976288318634033,0.488212525844574,0.4618682861328125,0.6691652536392212,0.6445309519767761,0.6615571975708008,0.7565368413925171,0.5523750185966492,0.4246640205383301,0.4327000081539154,0.6338469982147217,0.7041897773742676,0.6270875334739685,0.4973800480365753,0.5027822256088257,0.6202463507652283,0.45774248242378235,0.5458859205245972,0.7269750237464905
a forest with houses in front,0.5231837034225464,0.5165804028511047,0.41974684596061707,0.363187313079834,0.6143180131912231,0.5765320062637329,0.5762901306152344,0.7294176816940308,0.49724915623664856,0.3396071195602417,0.42208436131477356,0.5722255706787109,0.6386027932167053,0.5635504722595215,0.459865927696228,0.4227713942527771,0.531237781047821,0.40058767795562744,0.45195767283439636,0.656348466873169
a house with some trees with people standing on the grass,0.5294780731201172,0.5570529699325562,0.46906477212905884,0.3847673237323761,0.6865757703781128,0.5360090732574463,0.5008578300476074,0.697589635848999,0.5701906681060791,0.4052674472332001,0.4404541552066803,0.6267809867858887,0.656488835811615,0.6509655714035034,0.4554336667060852,0.4948666989803314,0.49783116579055786,0.3983660042285919,0.5217810273170471,0.6228008270263672
a man in black tuxedo standing,0.6916478276252747,0.587881326675415,0.45490217208862305,0.3946858048439026,0.5799868106842041,0.41639184951782227,0.3717014491558075,0.5389743447303772,0.4308679699897766,0.496933251619339,0.7680015563964844,0.5579622983932495,0.5399746298789978,0.6103376150131226,0.606890857219696,0.519340991973877,0.44811540842056274,0.3568194806575775,0.4094998836517334,0.49313828349113464
