,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.70703125,0.359375,0.080078125,0.016845703125,0.375,-0.00439453125,0.0235595703125,0.15625,0.0152587890625,0.08984375,0.392578125,0.34375,0.2578125,0.306640625,0.0478515625,0.404296875,0.005615234375,0.009765625,0.0947265625,0.1708984375
a black haired woman dressed in white,0.373046875,0.49609375,0.0625,-0.00579833984375,0.3359375,-0.021484375,0.0189208984375,0.2265625,0.0186767578125,0.019775390625,0.12158203125,0.48828125,0.28125,0.5390625,0.04736328125,0.267578125,0.004913330078125,0.0186767578125,0.11767578125,0.2119140625
a black vase of red flowers in the red background,0.1826171875,0.2314453125,0.34765625,0.031494140625,0.298828125,0.01434326171875,-0.04248046875,0.1904296875,0.00144195556640625,0.02685546875,0.0634765625,0.3046875,0.423828125,0.236328125,0.0703125,0.1298828125,0.038330078125,0.2734375,0.1025390625,0.173828125
a duck,0.0869140625,0.125,0.060546875,0.609375,0.0908203125,0.005859375,-0.0033416748046875,0.048583984375,0.0257568359375,0.0263671875,0.05517578125,0.140625,0.08837890625,0.11669921875,0.06494140625,0.0654296875,0.0301513671875,-0.01007080078125,0.04736328125,0.0625
a family having dinner,0.380859375,0.326171875,0.04443359375,-0.01806640625,0.6328125,0.002227783203125,0.026123046875,0.2060546875,-0.00092315673828125,-0.0167236328125,0.1376953125,0.48046875,0.265625,0.30859375,0.026611328125,0.296875,-0.0111083984375,0.031005859375,0.1357421875,0.1572265625
a forest with 3 tall trees standing out,0.1455078125,0.189453125,0.06396484375,0.0037841796875,0.130859375,0.30859375,0.12255859375,0.33203125,0.05859375,0.0341796875,0.08544921875,0.1669921875,0.201171875,0.185546875,0.021728515625,0.0830078125,0.234375,0.051513671875,0.1240234375,0.49609375
a forest with a cabin in the middle,0.1142578125,0.1357421875,0.01556396484375,-0.0150146484375,0.12158203125,0.22265625,0.474609375,0.306640625,-0.0003948211669921875,-0.045166015625,0.0419921875,0.181640625,0.13671875,0.1494140625,0.031494140625,0.10107421875,0.349609375,0.0028839111328125,0.0908203125,0.1806640625
a forest with houses in front,0.1572265625,0.1767578125,0.027587890625,-0.0228271484375,0.14453125,0.34375,0.34375,0.44140625,0.02783203125,-0.0322265625,0.07275390625,0.1806640625,0.2001953125,0.1669921875,0.0281982421875,0.10400390625,0.107421875,0.06298828125,0.042236328125,0.345703125
a house with some trees with people standing on the grass,0.142578125,0.1806640625,-0.0036773681640625,0.0025787353515625,0.1455078125,0.177734375,0.05859375,0.255859375,0.2412109375,0.00830078125,0.07275390625,0.1875,0.15234375,0.2001953125,0.0162353515625,0.09765625,0.0299072265625,0.037109375,0.048828125,0.255859375
a man in black tuxedo standing,0.486328125,0.494140625,0.049560546875,-0.0035400390625,0.314453125,0.000583648681640625,0.0228271484375,0.1396484375,0.04736328125,0.201171875,0.59765625,0.431640625,0.26171875,0.447265625,0.125,0.337890625,-0.00421142578125,-0.006256103515625,0.08447265625,0.2236328125
a man with moustache in a black suit,0.5078125,0.427734375,0.0291748046875,0.001739501953125,0.2890625,0.01092529296875,0.03955078125,0.1298828125,0.0322265625,0.197265625,0.6171875,0.37890625,0.232421875,0.408203125,0.154296875,0.33203125,-0.0164794921875,0.0118408203125,0.1015625,0.2021484375
"a mother, a daughter and a son",0.349609375,0.474609375,0.08056640625,0.0062255859375,0.396484375,-0.0247802734375,0.00811767578125,0.2265625,0.0272216796875,0.04052734375,0.2216796875,0.60546875,0.279296875,0.51171875,0.026611328125,0.265625,0.007537841796875,0.00933837890625,0.087890625,0.2080078125
a pot of flowers near the closed window in the back,0.17578125,0.19140625,0.1806640625,-0.01031494140625,0.2734375,0.01116943359375,0.017822265625,0.1240234375,-0.004150390625,0.0218505859375,0.058837890625,0.2294921875,0.37109375,0.203125,0.0223388671875,0.10986328125,0.029296875,0.07275390625,0.06591796875,0.1298828125
a red haired woman in a green dress,0.27734375,0.6484375,0.057373046875,-0.0087890625,0.30859375,0.00153350830078125,0.004241943359375,0.1787109375,0.04833984375,0.023193359375,0.2021484375,0.53125,0.2216796875,0.53515625,0.10205078125,0.203125,0.023681640625,-0.00732421875,0.09619140625,0.1845703125
a statue of a man head,0.32421875,0.2236328125,0.013427734375,-0.000148773193359375,0.05859375,-0.00982666015625,0.00909423828125,0.056640625,0.02978515625,0.09326171875,0.28515625,0.20703125,0.087890625,0.1904296875,0.703125,0.177734375,-0.002777099609375,0.01483154296875,0.072265625,0.0634765625
bald men in black sitting in a dark room,0.48828125,0.20703125,0.08447265625,0.0162353515625,0.287109375,0.0225830078125,0.0023345947265625,0.11083984375,0.01190185546875,0.0341796875,0.23046875,0.287109375,0.1669921875,0.255859375,0.05224609375,0.330078125,-0.035400390625,-0.003387451171875,0.03857421875,0.12060546875
forest with white tree barks,0.11279296875,0.16796875,0.0145263671875,0.0135498046875,0.1181640625,0.1904296875,0.2177734375,0.265625,0.0108642578125,-0.00567626953125,0.049560546875,0.1455078125,0.1923828125,0.1455078125,0.0220947265625,0.0595703125,0.6875,-0.011962890625,0.1396484375,0.328125
multiple jars of flowers,0.1552734375,0.17578125,0.26953125,0.0291748046875,0.251953125,0.009033203125,-0.004425048828125,0.16796875,0.0289306640625,-0.01556396484375,0.04443359375,0.208984375,0.484375,0.169921875,0.049560546875,0.138671875,0.010009765625,0.443359375,0.11572265625,0.14453125
people socializing downtown,0.25,0.28125,0.037109375,-0.0264892578125,0.375,0.0184326171875,0.0634765625,0.3515625,0.036376953125,-0.03466796875,0.111328125,0.39453125,0.265625,0.32421875,0.0213623046875,0.23046875,0.051025390625,0.047119140625,0.294921875,0.294921875
some trees with a pond in the background,0.193359375,0.1796875,0.03515625,0.0294189453125,0.13671875,0.2060546875,0.08056640625,0.392578125,0.0255126953125,-0.00994873046875,0.10791015625,0.2041015625,0.1591796875,0.2041015625,0.01519775390625,0.134765625,0.1494140625,0.0125732421875,0.0947265625,0.56640625
