,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7265625,0.361328125,0.0673828125,0.042236328125,0.33203125,-0.0145263671875,0.0234375,0.1318359375,-0.00994873046875,0.115234375,0.396484375,0.33984375,0.259765625,0.2080078125,0.050048828125,0.21875,0.005950927734375,0.0179443359375,0.07568359375,0.004425048828125
a black haired woman dressed in white,0.328125,0.49609375,0.0322265625,-0.01385498046875,0.283203125,-0.0294189453125,0.0213623046875,0.2109375,0.0038909912109375,0.037841796875,0.1259765625,0.486328125,0.3046875,0.412109375,0.042236328125,0.1552734375,0.01336669921875,0.020751953125,0.09765625,-0.001068115234375
a black vase of red flowers in the red background,0.1748046875,0.23046875,0.37890625,0.0162353515625,0.2734375,0.0194091796875,-0.038818359375,0.1796875,-0.007171630859375,0.03271484375,0.0693359375,0.26953125,0.396484375,0.1513671875,0.062255859375,0.05859375,0.0274658203125,0.314453125,0.078125,0.0302734375
a duck,0.09130859375,0.125,0.06494140625,0.337890625,0.10400390625,0.0054931640625,0.0019378662109375,0.0419921875,0.0238037109375,0.03173828125,0.055908203125,0.13671875,0.09326171875,0.07763671875,0.056640625,0.06298828125,0.0230712890625,0.00213623046875,0.060546875,0.0025787353515625
a family having dinner,0.357421875,0.330078125,0.052734375,-0.0035400390625,0.5625,0.006439208984375,0.0216064453125,0.1708984375,-0.006072998046875,-0.017333984375,0.1337890625,0.458984375,0.279296875,0.1884765625,0.0242919921875,0.138671875,-0.00921630859375,0.0291748046875,0.115234375,0.00897216796875
a forest with 3 tall trees standing out,0.1396484375,0.185546875,0.04296875,0.041015625,0.1171875,0.31640625,0.11572265625,0.30859375,0.053955078125,0.033447265625,0.083984375,0.1611328125,0.1953125,0.12451171875,0.0225830078125,0.041015625,0.25390625,0.049072265625,0.09619140625,0.30078125
a forest with a cabin in the middle,0.111328125,0.1455078125,-0.0052490234375,0.003173828125,0.11376953125,0.2197265625,0.4765625,0.2421875,0.004180908203125,-0.03466796875,0.040771484375,0.173828125,0.142578125,0.08837890625,0.027587890625,0.04541015625,0.33984375,0.006317138671875,0.07666015625,0.06640625
a forest with houses in front,0.142578125,0.1767578125,0.0218505859375,0.00634765625,0.12353515625,0.357421875,0.341796875,0.345703125,0.03955078125,-0.0296630859375,0.0693359375,0.16015625,0.2138671875,0.0849609375,0.030029296875,0.050048828125,0.1015625,0.064453125,0.0289306640625,0.12451171875
a house with some trees with people standing on the grass,0.1298828125,0.1796875,-0.0054931640625,0.01361083984375,0.1337890625,0.1787109375,0.0576171875,0.1884765625,0.1806640625,0.0103759765625,0.0673828125,0.1650390625,0.1630859375,0.1328125,0.00433349609375,0.0264892578125,0.04296875,0.0380859375,0.053466796875,0.058349609375
a man in black tuxedo standing,0.51953125,0.484375,0.0439453125,0.0247802734375,0.25,-0.00799560546875,0.0234375,0.11669921875,0.02197265625,0.2421875,0.58984375,0.400390625,0.259765625,0.328125,0.123046875,0.1728515625,-0.00970458984375,-0.01300048828125,0.060791015625,-0.0031280517578125
