,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.68359375,0.32421875,0.28125,0.0172119140625,0.4453125,-0.00079345703125,0.0245361328125,0.0888671875,0.00836181640625,0.11865234375,0.50390625,0.419921875,0.294921875,0.255859375,0.06298828125,0.32421875,0.0225830078125,0.1943359375,0.1640625,0.1435546875
a black haired woman dressed in white,0.361328125,0.474609375,0.298828125,-0.0322265625,0.408203125,-0.01202392578125,0.019287109375,0.1328125,0.051025390625,0.047607421875,0.26171875,0.55859375,0.3203125,0.52734375,0.05615234375,0.2109375,0.034423828125,0.1875,0.1845703125,0.1767578125
a black vase of red flowers in the red background,0.16796875,0.197265625,0.58203125,0.0185546875,0.322265625,0.02880859375,-0.038330078125,0.1240234375,0.0081787109375,0.006866455078125,0.14453125,0.310546875,0.5390625,0.2021484375,0.0634765625,0.1201171875,0.08251953125,0.4765625,0.140625,0.142578125
a duck,0.09326171875,0.109375,0.119140625,0.298828125,0.11572265625,0.00146484375,-0.01708984375,0.03125,0.0181884765625,0.01275634765625,0.08447265625,0.1416015625,0.111328125,0.095703125,0.06298828125,0.078125,0.042236328125,0.0615234375,0.07568359375,0.06494140625
a family having dinner,0.35546875,0.30859375,0.228515625,-0.0234375,0.66796875,0.01611328125,0.051025390625,0.09765625,0.03076171875,-0.00067138671875,0.23828125,0.53125,0.296875,0.275390625,0.0291748046875,0.2578125,0.005157470703125,0.16015625,0.19921875,0.138671875
a forest with 3 tall trees standing out,0.138671875,0.17578125,0.1767578125,0.0625,0.1513671875,0.376953125,0.1767578125,0.298828125,0.0927734375,0.031005859375,0.1474609375,0.185546875,0.216796875,0.15234375,0.0206298828125,0.080078125,0.240234375,0.15625,0.1650390625,0.44921875
a forest with a cabin in the middle,0.12060546875,0.1376953125,0.0927734375,-0.00933837890625,0.1708984375,0.2353515625,0.4375,0.185546875,0.021240234375,-0.048095703125,0.099609375,0.1962890625,0.1474609375,0.09423828125,0.0400390625,0.062255859375,0.330078125,0.0751953125,0.10205078125,0.1513671875
a forest with houses in front,0.1455078125,0.1728515625,0.1767578125,0.032470703125,0.1767578125,0.361328125,0.369140625,0.2373046875,0.1005859375,-0.0067138671875,0.1376953125,0.2255859375,0.23046875,0.142578125,0.033447265625,0.0986328125,0.146484375,0.16796875,0.07666015625,0.310546875
a house with some trees with people standing on the grass,0.140625,0.1728515625,0.12451171875,0.0074462890625,0.15625,0.166015625,0.040771484375,0.1298828125,0.337890625,0.013671875,0.1337890625,0.2138671875,0.1826171875,0.1689453125,0.01953125,0.09033203125,0.046875,0.1142578125,0.109375,0.255859375
a man in black tuxedo standing,0.49609375,0.4609375,0.27734375,0.0181884765625,0.431640625,-0.0027923583984375,0.0218505859375,0.09716796875,0.06103515625,0.2392578125,0.75,0.51171875,0.3125,0.38671875,0.1552734375,0.328125,0.011962890625,0.13671875,0.1484375,0.1826171875
a man with moustache in a black suit,0.5078125,0.392578125,0.2421875,0.01165771484375,0.400390625,0.0162353515625,0.0257568359375,0.078125,0.03271484375,0.2314453125,0.76171875,0.46875,0.279296875,0.33984375,0.1796875,0.31640625,-0.005218505859375,0.146484375,0.158203125,0.162109375
"a mother, a daughter and a son",0.33984375,0.453125,0.30078125,0.013427734375,0.51171875,-0.0186767578125,0.0208740234375,0.15234375,0.050537109375,0.0615234375,0.345703125,0.64453125,0.3125,0.40625,0.0299072265625,0.27734375,0.0181884765625,0.16015625,0.1689453125,0.16796875
a pot of flowers near the closed window in the back,0.15234375,0.1533203125,0.34375,-0.01806640625,0.283203125,0.03515625,0.01116943359375,0.059814453125,0.01080322265625,0.00799560546875,0.1279296875,0.234375,0.373046875,0.1533203125,0.02734375,0.0791015625,0.03955078125,0.212890625,0.1513671875,0.1015625
a red haired woman in a green dress,0.271484375,0.6015625,0.208984375,0.001129150390625,0.373046875,-0.0033111572265625,0.002593994140625,0.1357421875,0.0615234375,0.03955078125,0.294921875,0.46875,0.25390625,0.486328125,0.1044921875,0.19140625,0.042236328125,0.10498046875,0.1767578125,0.1494140625
a statue of a man head,0.333984375,0.2109375,0.1162109375,0.0194091796875,0.09716796875,-0.0028839111328125,0.004486083984375,0.04931640625,-0.021240234375,0.06982421875,0.369140625,0.228515625,0.10546875,0.181640625,0.71875,0.2265625,0.0228271484375,0.07861328125,0.0810546875,0.0301513671875
bald men in black sitting in a dark room,0.44921875,0.1845703125,0.2001953125,-0.0260009765625,0.36328125,0.0164794921875,-0.003448486328125,0.07958984375,0.00640869140625,0.060302734375,0.3359375,0.3828125,0.2109375,0.205078125,0.06396484375,0.306640625,-0.013671875,0.11865234375,0.10009765625,0.0927734375
forest with white tree barks,0.125,0.1572265625,0.1572265625,0.01190185546875,0.125,0.2236328125,0.2001953125,0.185546875,0.0247802734375,-0.013427734375,0.1103515625,0.1416015625,0.1904296875,0.140625,0.0233154296875,0.04248046875,0.59765625,0.12255859375,0.150390625,0.279296875
multiple jars of flowers,0.1416015625,0.1484375,0.46484375,0.0113525390625,0.265625,0.03564453125,-0.0145263671875,0.07275390625,0.03515625,-0.029541015625,0.11279296875,0.2353515625,0.53515625,0.171875,0.045654296875,0.134765625,0.041015625,0.55078125,0.16796875,0.111328125
people socializing downtown,0.2294921875,0.263671875,0.234375,-0.00579833984375,0.423828125,0.0439453125,0.04931640625,0.2041015625,0.125,-0.0076904296875,0.2421875,0.45703125,0.318359375,0.251953125,0.0294189453125,0.162109375,0.0634765625,0.1953125,0.349609375,0.2431640625
some trees with a pond in the background,0.185546875,0.177734375,0.1845703125,0.0712890625,0.177734375,0.26953125,0.08349609375,0.2734375,0.11376953125,0.01116943359375,0.1943359375,0.244140625,0.2001953125,0.169921875,0.0240478515625,0.10302734375,0.18359375,0.1435546875,0.134765625,0.474609375
