,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.703125,0.361328125,0.25390625,0.08447265625,0.466796875,-9.119510650634766e-06,0.0238037109375,0.1650390625,0.02783203125,0.111328125,0.46875,0.3828125,0.275390625,0.322265625,0.0673828125,0.439453125,0.009033203125,0.09521484375,0.1357421875,0.1826171875
a black haired woman dressed in white,0.4609375,0.51953125,0.275390625,0.06494140625,0.419921875,-0.0108642578125,0.01104736328125,0.234375,0.060791015625,0.03125,0.2021484375,0.51171875,0.294921875,0.59375,0.056396484375,0.296875,0.0166015625,0.123046875,0.154296875,0.2314453125
a black vase of red flowers in the red background,0.2001953125,0.240234375,0.490234375,0.05078125,0.35546875,0.025634765625,-0.0419921875,0.189453125,0.0234375,0.00860595703125,0.1064453125,0.310546875,0.494140625,0.259765625,0.07763671875,0.1787109375,0.0712890625,0.328125,0.12109375,0.1787109375
a duck,0.08837890625,0.1259765625,0.11083984375,0.48828125,0.0986328125,0.01239013671875,0.003692626953125,0.0400390625,0.04736328125,0.0286865234375,0.07470703125,0.1328125,0.107421875,0.126953125,0.06640625,0.09765625,0.041259765625,0.0262451171875,0.064453125,0.06396484375
a family having dinner,0.384765625,0.33984375,0.2080078125,0.0361328125,0.66015625,0.0179443359375,0.031494140625,0.208984375,0.056396484375,-0.0002422332763671875,0.197265625,0.48828125,0.283203125,0.357421875,0.032470703125,0.318359375,0.004913330078125,0.10595703125,0.1494140625,0.1630859375
a forest with 3 tall trees standing out,0.1455078125,0.1884765625,0.1640625,0.07421875,0.166015625,0.33984375,0.1240234375,0.34765625,0.080078125,0.039306640625,0.1220703125,0.189453125,0.203125,0.1689453125,0.0194091796875,0.107421875,0.2412109375,0.125,0.1435546875,0.5078125
a forest with a cabin in the middle,0.11279296875,0.1513671875,0.0859375,0.003509521484375,0.1533203125,0.248046875,0.470703125,0.28125,0.06689453125,-0.041015625,0.07373046875,0.1865234375,0.1396484375,0.15625,0.03173828125,0.1015625,0.359375,0.05615234375,0.08154296875,0.193359375
a forest with houses in front,0.154296875,0.18359375,0.13671875,0.042236328125,0.1708984375,0.357421875,0.3359375,0.453125,0.115234375,-0.022216796875,0.1123046875,0.1962890625,0.2138671875,0.181640625,0.0277099609375,0.1328125,0.142578125,0.125,0.050537109375,0.369140625
a house with some trees with people standing on the grass,0.142578125,0.1875,0.11083984375,0.04150390625,0.1591796875,0.1796875,0.0458984375,0.275390625,0.185546875,0.017578125,0.10546875,0.185546875,0.1796875,0.208984375,0.01513671875,0.12255859375,0.0439453125,0.06591796875,0.09228515625,0.271484375
a man in black tuxedo standing,0.53515625,0.5078125,0.267578125,0.08544921875,0.431640625,0.00823974609375,0.0184326171875,0.1630859375,0.051513671875,0.2314453125,0.69140625,0.46484375,0.28515625,0.48046875,0.134765625,0.400390625,-0.000164031982421875,0.083984375,0.12451171875,0.2392578125
a man with moustache in a black suit,0.53125,0.439453125,0.228515625,0.06982421875,0.39453125,0.0220947265625,0.037841796875,0.150390625,0.03369140625,0.2265625,0.71484375,0.408203125,0.25390625,0.43359375,0.1630859375,0.384765625,-0.01385498046875,0.1005859375,0.138671875,0.216796875
"a mother, a daughter and a son",0.37890625,0.50390625,0.28515625,0.076171875,0.51953125,-0.01385498046875,-6.914138793945312e-05,0.2314453125,0.0537109375,0.05322265625,0.29296875,0.57421875,0.2890625,0.53125,0.0301513671875,0.318359375,0.0185546875,0.08447265625,0.1123046875,0.2265625
a pot of flowers near the closed window in the back,0.1904296875,0.1904296875,0.3359375,0.0296630859375,0.306640625,0.02001953125,0.00848388671875,0.11865234375,0.025634765625,0.025634765625,0.109375,0.2333984375,0.37109375,0.21875,0.03125,0.1416015625,0.041259765625,0.1494140625,0.10107421875,0.146484375
a red haired woman in a green dress,0.296875,0.6484375,0.1845703125,0.054443359375,0.40234375,0.00830078125,0.00274658203125,0.1962890625,0.0546875,0.05126953125,0.255859375,0.466796875,0.2333984375,0.482421875,0.1044921875,0.2412109375,0.031982421875,0.057861328125,0.12890625,0.2021484375
a statue of a man head,0.30078125,0.22265625,0.0908203125,0.04638671875,0.08837890625,-0.0050048828125,0.01092529296875,0.0712890625,0.04296875,0.1025390625,0.353515625,0.193359375,0.0986328125,0.181640625,0.7265625,0.173828125,0.00084686279296875,0.058837890625,0.0751953125,0.072265625
bald men in black sitting in a dark room,0.462890625,0.21484375,0.1875,0.0517578125,0.353515625,0.0224609375,-0.000934600830078125,0.10107421875,0.0021209716796875,0.0390625,0.302734375,0.306640625,0.1904296875,0.291015625,0.07080078125,0.34375,-0.0361328125,0.061767578125,0.0712890625,0.130859375
forest with white tree barks,0.1279296875,0.1748046875,0.1259765625,0.035400390625,0.140625,0.232421875,0.2236328125,0.314453125,0.027587890625,-0.006805419921875,0.0771484375,0.16015625,0.1904296875,0.1572265625,0.02392578125,0.0830078125,0.703125,0.06201171875,0.14453125,0.33984375
multiple jars of flowers,0.1689453125,0.1806640625,0.43359375,0.05810546875,0.3046875,0.0189208984375,-0.01953125,0.173828125,0.03271484375,-0.0242919921875,0.078125,0.2216796875,0.50390625,0.201171875,0.052001953125,0.1787109375,0.0322265625,0.38671875,0.140625,0.1474609375
people socializing downtown,0.267578125,0.30859375,0.2197265625,0.057373046875,0.4296875,0.046630859375,0.061279296875,0.3515625,0.1181640625,-0.0289306640625,0.189453125,0.3984375,0.291015625,0.375,0.037841796875,0.26953125,0.05712890625,0.1318359375,0.30078125,0.322265625
some trees with a pond in the background,0.193359375,0.1923828125,0.14453125,0.0947265625,0.1640625,0.255859375,0.0830078125,0.4375,0.11572265625,0.00885009765625,0.15625,0.197265625,0.1806640625,0.2099609375,0.0201416015625,0.130859375,0.1689453125,0.06298828125,0.1171875,0.58203125
