,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7408114075660706,0.5536978244781494,0.42653006315231323,0.4249565601348877,0.5606696605682373,0.398337185382843,0.3231358230113983,0.5506163835525513,0.45391952991485596,0.4246692359447479,0.7208302021026611,0.4733659625053406,0.5288571715354919,0.5609987378120422,0.5488430261611938,0.5399806499481201,0.38245490193367004,0.39324092864990234,0.43347328901290894,0.5240113735198975
a black haired woman dressed in white,0.6423900723457336,0.7017197608947754,0.5148003101348877,0.5175778865814209,0.6605778932571411,0.4576088786125183,0.36831334233283997,0.642879843711853,0.5436246395111084,0.4600551128387451,0.5773700475692749,0.6918387413024902,0.6547465324401855,0.7747806310653687,0.5459619760513306,0.5460740327835083,0.4745735228061676,0.47481903433799744,0.5507749915122986,0.6352930068969727
a black vase of red flowers in the red background,0.5302296280860901,0.6167272925376892,0.7037860751152039,0.5269088745117188,0.5912306904792786,0.5298083424568176,0.40832650661468506,0.6776936650276184,0.5606783628463745,0.4644920229911804,0.44881483912467957,0.6186990737915039,0.7605586051940918,0.6972016096115112,0.5234565734863281,0.5620550513267517,0.5552343130111694,0.6325680017471313,0.5492597818374634,0.6458558440208435
a duck,0.40121257305145264,0.443640798330307,0.5916721820831299,0.6432493925094604,0.43792057037353516,0.5417715907096863,0.42022332549095154,0.5325504541397095,0.48781388998031616,0.5050845742225647,0.4782430827617645,0.46345871686935425,0.4393389821052551,0.5062867999076843,0.5566025972366333,0.5247607827186584,0.6461300849914551,0.46386492252349854,0.4090884029865265,0.5352230668067932
a family having dinner,0.5438873171806335,0.5393356084823608,0.5039763450622559,0.5082800388336182,0.7674901485443115,0.4853094220161438,0.4551672041416168,0.647070050239563,0.5051387548446655,0.436858594417572,0.4942285418510437,0.6035141944885254,0.5736832618713379,0.5750430822372437,0.49341535568237305,0.6046898365020752,0.5170499086380005,0.5249549746513367,0.5743771195411682,0.5761076807975769
a forest with 3 tall trees standing out,0.5309405326843262,0.6020800471305847,0.6736689209938049,0.6523526310920715,0.6175621151924133,0.7726011872291565,0.6698445081710815,0.7614506483078003,0.6942752599716187,0.5903488993644714,0.48221081495285034,0.6465214490890503,0.732115626335144,0.6732776761054993,0.5718651413917542,0.6175180673599243,0.7356749773025513,0.6934772729873657,0.6975067853927612,0.8221491575241089
a forest with a cabin in the middle,0.5472983121871948,0.6085163354873657,0.5480111837387085,0.5538232922554016,0.6222412586212158,0.6710500717163086,0.6643217206001282,0.79265296459198,0.6592174768447876,0.44851160049438477,0.44540512561798096,0.6271215081214905,0.721709132194519,0.7011188268661499,0.51798415184021,0.5355170965194702,0.5775620341300964,0.5417404174804688,0.6248385906219482,0.7918473482131958
a forest with houses in front,0.5493987202644348,0.530670166015625,0.47455164790153503,0.4633827805519104,0.5741820931434631,0.5854888558387756,0.5687839388847351,0.7909622192382812,0.5896441340446472,0.3615715205669403,0.4315911531448364,0.5672075748443604,0.6682167053222656,0.6372264623641968,0.48176804184913635,0.4548942446708679,0.5041679739952087,0.4851836562156677,0.5207102298736572,0.732850193977356
a house with some trees with people standing on the grass,0.6042259335517883,0.5708776712417603,0.5047183036804199,0.49170443415641785,0.6616845726966858,0.5585386753082275,0.4931601881980896,0.7583181858062744,0.6631242632865906,0.43535110354423523,0.4483921527862549,0.6400249004364014,0.6791175603866577,0.7284475564956665,0.46188050508499146,0.534439742565155,0.4669511914253235,0.49676740169525146,0.5956927537918091,0.7186772227287292
a man in black tuxedo standing,0.6760967373847961,0.6104885339736938,0.5030150413513184,0.46874696016311646,0.6048033237457275,0.44503775238990784,0.36873698234558105,0.5909901261329651,0.5329103469848633,0.4949534833431244,0.7780653238296509,0.5463927388191223,0.5678660869598389,0.6570949554443359,0.6165056228637695,0.5794821381568909,0.4441224932670593,0.42677152156829834,0.4623458981513977,0.5868308544158936
