,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.75390625,0.337890625,0.072265625,0.0262451171875,0.259765625,-0.00799560546875,0.0177001953125,0.09228515625,-0.000583648681640625,0.123046875,0.388671875,0.32421875,0.2431640625,0.1123046875,0.043701171875,0.251953125,0.003936767578125,0.019775390625,0.0908203125,0.004547119140625
a black haired woman dressed in white,0.37109375,0.4765625,0.0240478515625,-0.018798828125,0.2060546875,-0.0181884765625,0.00823974609375,0.1630859375,0.00335693359375,0.04150390625,0.1279296875,0.4609375,0.28125,0.271484375,0.024169921875,0.02001953125,0.0086669921875,0.02587890625,0.10205078125,-0.01202392578125
a black vase of red flowers in the red background,0.1865234375,0.2216796875,0.337890625,0.00933837890625,0.2392578125,0.016357421875,-0.02685546875,0.1328125,0.01123046875,0.0294189453125,0.072265625,0.263671875,0.419921875,0.095703125,0.05029296875,0.03125,0.0174560546875,0.302734375,0.07470703125,0.0191650390625
a duck,0.08740234375,0.123046875,0.050537109375,0.408203125,0.1123046875,0.004974365234375,0.010498046875,0.04736328125,0.031494140625,0.034912109375,0.059326171875,0.1376953125,0.0849609375,0.0272216796875,0.037841796875,0.0101318359375,0.01953125,0.005615234375,0.05224609375,-0.00090789794921875
a family having dinner,0.34375,0.310546875,0.02001953125,-0.007171630859375,0.515625,0.00677490234375,0.038818359375,0.134765625,-0.00836181640625,-0.013427734375,0.1328125,0.458984375,0.2578125,0.09130859375,0.015625,0.1865234375,-0.0264892578125,0.041259765625,0.1357421875,-0.0003490447998046875
a forest with 3 tall trees standing out,0.12451171875,0.177734375,0.034423828125,0.034423828125,0.08740234375,0.3046875,0.12890625,0.26953125,0.04931640625,0.0322265625,0.08837890625,0.146484375,0.1708984375,0.06103515625,0.0301513671875,0.0189208984375,0.27734375,0.05615234375,0.091796875,0.26171875
a forest with a cabin in the middle,0.10302734375,0.1328125,0.00093841552734375,0.0038604736328125,0.09130859375,0.2275390625,0.5,0.28515625,0.0087890625,-0.0311279296875,0.06298828125,0.169921875,0.12890625,0.03759765625,0.024169921875,0.006378173828125,0.357421875,0.00433349609375,0.06884765625,0.0281982421875
a forest with houses in front,0.138671875,0.1708984375,0.00653076171875,0.00701904296875,0.10693359375,0.34765625,0.412109375,0.3984375,0.0262451171875,-0.0286865234375,0.068359375,0.154296875,0.189453125,0.040771484375,0.020751953125,0.01422119140625,0.1015625,0.0771484375,0.05615234375,0.109375
a house with some trees with people standing on the grass,0.1220703125,0.1767578125,0.000675201416015625,0.0027618408203125,0.08154296875,0.185546875,0.07763671875,0.298828125,0.275390625,0.01055908203125,0.0703125,0.171875,0.1328125,0.1044921875,-0.0062255859375,0.004058837890625,0.041259765625,0.046875,0.07958984375,0.11474609375
a man in black tuxedo standing,0.5234375,0.46484375,0.0478515625,0.005157470703125,0.166015625,-0.00286865234375,0.006927490234375,0.0888671875,0.041748046875,0.251953125,0.578125,0.390625,0.240234375,0.1572265625,0.09814453125,0.2021484375,-0.01031494140625,-0.0037078857421875,0.083984375,0.000728607177734375
a man with moustache in a black suit,0.56640625,0.408203125,0.044189453125,0.0036773681640625,0.1689453125,0.006561279296875,0.0203857421875,0.06494140625,0.02099609375,0.251953125,0.64453125,0.3359375,0.2216796875,0.1630859375,0.11962890625,0.232421875,-0.0172119140625,0.006744384765625,0.1240234375,-0.00665283203125
"a mother, a daughter and a son",0.357421875,0.453125,0.04443359375,0.0107421875,0.2734375,-0.0208740234375,0.011474609375,0.16796875,0.0218505859375,0.061767578125,0.2216796875,0.57421875,0.2734375,0.2158203125,0.01519775390625,0.1845703125,0.001983642578125,0.021728515625,0.087890625,-0.029052734375
a pot of flowers near the closed window in the back,0.1689453125,0.1787109375,0.12255859375,-0.0208740234375,0.2001953125,0.005828857421875,0.02294921875,0.091796875,-0.01019287109375,0.02490234375,0.06591796875,0.203125,0.345703125,0.0673828125,0.00518798828125,0.0301513671875,0.0247802734375,0.09521484375,0.06494140625,0.0045166015625
a red haired woman in a green dress,0.2890625,0.625,0.034912109375,-0.0029296875,0.240234375,0.0030059814453125,0.006622314453125,0.1328125,0.031494140625,0.04345703125,0.21484375,0.498046875,0.208984375,0.326171875,0.09228515625,0.1513671875,0.01611328125,0.01348876953125,0.1435546875,-0.01080322265625
a statue of a man head,0.328125,0.22265625,0.0269775390625,-0.001983642578125,0.0294189453125,-0.01068115234375,0.00121307373046875,0.01904296875,0.0098876953125,0.099609375,0.306640625,0.1943359375,0.08447265625,0.12158203125,0.55078125,0.06396484375,-0.00762939453125,0.0191650390625,0.044189453125,0.0106201171875
bald men in black sitting in a dark room,0.52734375,0.197265625,0.06787109375,-0.00531005859375,0.1669921875,0.02099609375,-0.0021514892578125,0.07177734375,-0.007232666015625,0.05810546875,0.2138671875,0.25,0.1689453125,0.12060546875,0.04638671875,0.1865234375,-0.04833984375,0.0115966796875,0.056396484375,-0.030029296875
forest with white tree barks,0.07958984375,0.166015625,-0.00909423828125,0.00494384765625,0.11669921875,0.2021484375,0.236328125,0.19921875,0.0076904296875,0.005035400390625,0.056884765625,0.12451171875,0.1689453125,0.0181884765625,0.01116943359375,-0.01806640625,0.73046875,0.00128936767578125,0.0712890625,0.142578125
multiple jars of flowers,0.154296875,0.171875,0.27734375,0.005950927734375,0.2275390625,0.01806640625,-0.0054931640625,0.11083984375,0.0301513671875,-0.01190185546875,0.04931640625,0.16796875,0.484375,0.0625,0.03369140625,0.030029296875,0.0009918212890625,0.48828125,0.103515625,0.0244140625
people socializing downtown,0.2412109375,0.26171875,-0.00408935546875,-0.0120849609375,0.265625,0.0167236328125,0.07177734375,0.25390625,0.0240478515625,-0.025634765625,0.111328125,0.326171875,0.265625,0.08642578125,0.0133056640625,0.0439453125,0.044677734375,0.054931640625,0.203125,0.036376953125
some trees with a pond in the background,0.181640625,0.1708984375,0.002471923828125,0.040283203125,0.10693359375,0.2109375,0.09326171875,0.3125,0.0157470703125,-0.0130615234375,0.1005859375,0.1591796875,0.146484375,0.035400390625,0.010986328125,0.007720947265625,0.1513671875,0.0225830078125,0.0791015625,0.294921875
