,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.70703125,0.3515625,0.2412109375,0.07177734375,0.447265625,0.0458984375,0.027099609375,0.1806640625,-0.00139617919921875,0.11669921875,0.4140625,0.35546875,0.279296875,0.349609375,0.06787109375,0.44921875,0.009765625,0.15234375,0.142578125,0.169921875
a black haired woman dressed in white,0.390625,0.50390625,0.2578125,0.053466796875,0.396484375,0.035400390625,0.0191650390625,0.25,0.01055908203125,0.027099609375,0.14453125,0.498046875,0.302734375,0.609375,0.055419921875,0.28515625,0.018798828125,0.1552734375,0.15625,0.2158203125
a black vase of red flowers in the red background,0.1982421875,0.2265625,0.478515625,0.047607421875,0.337890625,0.064453125,-0.0419921875,0.205078125,-0.0081787109375,0.008544921875,0.07080078125,0.302734375,0.451171875,0.28125,0.0751953125,0.1728515625,0.07763671875,0.376953125,0.11279296875,0.171875
a duck,0.095703125,0.1220703125,0.10498046875,0.4765625,0.10205078125,0.044189453125,0.006591796875,0.055908203125,0.01312255859375,0.0189208984375,0.055908203125,0.1494140625,0.1025390625,0.1279296875,0.06591796875,0.09716796875,0.042724609375,0.0262451171875,0.05859375,0.056396484375
a family having dinner,0.3671875,0.32421875,0.2001953125,0.02734375,0.640625,0.05224609375,0.03271484375,0.216796875,-0.007568359375,-0.00176239013671875,0.1494140625,0.50390625,0.28125,0.3671875,0.029541015625,0.32421875,0.007781982421875,0.14453125,0.16796875,0.1494140625
a forest with 3 tall trees standing out,0.1474609375,0.1796875,0.16015625,0.0673828125,0.166015625,0.412109375,0.11669921875,0.359375,0.05078125,0.032958984375,0.09521484375,0.1708984375,0.2041015625,0.205078125,0.017822265625,0.10595703125,0.236328125,0.1455078125,0.1298828125,0.48828125
a forest with a cabin in the middle,0.11962890625,0.1435546875,0.07421875,-0.003082275390625,0.1533203125,0.314453125,0.47265625,0.283203125,0.01190185546875,-0.044677734375,0.048095703125,0.17578125,0.1416015625,0.1748046875,0.031494140625,0.10009765625,0.361328125,0.076171875,0.1005859375,0.16796875
a forest with houses in front,0.1591796875,0.1767578125,0.1376953125,0.032470703125,0.17578125,0.447265625,0.333984375,0.427734375,0.022216796875,-0.0252685546875,0.080078125,0.173828125,0.20703125,0.201171875,0.0264892578125,0.130859375,0.15234375,0.146484375,0.06982421875,0.337890625
a house with some trees with people standing on the grass,0.150390625,0.1787109375,0.11181640625,0.041015625,0.162109375,0.236328125,0.049560546875,0.271484375,0.1689453125,0.0146484375,0.072265625,0.1826171875,0.1630859375,0.2236328125,0.016357421875,0.11572265625,0.04345703125,0.0810546875,0.10498046875,0.26171875
a man in black tuxedo standing,0.5546875,0.484375,0.25,0.07177734375,0.40234375,0.06494140625,0.0233154296875,0.185546875,0.0267333984375,0.23046875,0.61328125,0.40625,0.29296875,0.484375,0.1357421875,0.40234375,-0.00026702880859375,0.1142578125,0.11865234375,0.2177734375
a man with moustache in a black suit,0.5625,0.41796875,0.2177734375,0.057373046875,0.37109375,0.07275390625,0.04052734375,0.1708984375,0.01324462890625,0.2255859375,0.640625,0.349609375,0.259765625,0.455078125,0.162109375,0.384765625,-0.01434326171875,0.1357421875,0.1533203125,0.1962890625
"a mother, a daughter and a son",0.38671875,0.478515625,0.263671875,0.06640625,0.490234375,0.03759765625,0.005126953125,0.2578125,-0.00055694580078125,0.04638671875,0.232421875,0.5625,0.294921875,0.5390625,0.03515625,0.32421875,0.01611328125,0.12158203125,0.11865234375,0.2041015625
