,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7561510801315308,0.5384153127670288,0.37977269291877747,0.37340062856674194,0.5314148664474487,0.3752477169036865,0.31298238039016724,0.52249675989151,0.3870784044265747,0.40920567512512207,0.6917988061904907,0.4820842742919922,0.5101313591003418,0.5170637965202332,0.5379956364631653,0.5301451086997986,0.3897897005081177,0.3108162581920624,0.3714889585971832,0.45114484429359436
a black haired woman dressed in white,0.5999016761779785,0.6806372404098511,0.4658857583999634,0.41545000672340393,0.6336050033569336,0.4334328770637512,0.3591793179512024,0.6057788729667664,0.4482443332672119,0.4708859324455261,0.6063305735588074,0.6755932569503784,0.6379252076148987,0.7207334041595459,0.5397026538848877,0.5204153656959534,0.49190187454223633,0.4026222825050354,0.4799632728099823,0.536561906337738
a black vase of red flowers in the red background,0.5204474925994873,0.606572687625885,0.6502935886383057,0.42792728543281555,0.5949395895004272,0.5078583359718323,0.39652198553085327,0.6248100996017456,0.46848857402801514,0.459248423576355,0.43263375759124756,0.637380838394165,0.7219393253326416,0.6117289066314697,0.5117524266242981,0.5181858539581299,0.5698645114898682,0.5793267488479614,0.4693326950073242,0.5789502859115601
a duck,0.45197346806526184,0.4555162191390991,0.5160425305366516,0.5827125906944275,0.4734984040260315,0.5332106351852417,0.3991735279560089,0.5397673845291138,0.4411087930202484,0.4974224269390106,0.4977334141731262,0.503804087638855,0.4397841691970825,0.5299893617630005,0.5487660765647888,0.5041777491569519,0.6369353532791138,0.39571496844291687,0.4267805814743042,0.5713792443275452
a family having dinner,0.5165071487426758,0.5310947895050049,0.44115620851516724,0.45139265060424805,0.7710217237472534,0.4616435766220093,0.435474693775177,0.6548755168914795,0.4354608654975891,0.4156387448310852,0.48839324712753296,0.6289234161376953,0.5545411109924316,0.5426651239395142,0.48294341564178467,0.6137815117835999,0.5208255052566528,0.4353240430355072,0.5016012191772461,0.5510784983634949
a forest with 3 tall trees standing out,0.5397021770477295,0.6047856211662292,0.6210135817527771,0.6121512651443481,0.6571760773658752,0.7408325672149658,0.6437664031982422,0.7625058889389038,0.5762222409248352,0.5727587938308716,0.5018012523651123,0.645919680595398,0.7399059534072876,0.6764569282531738,0.5567032694816589,0.5844733715057373,0.7477220296859741,0.6074826717376709,0.6538643836975098,0.834846019744873
a forest with a cabin in the middle,0.5383362174034119,0.5976349115371704,0.4871109127998352,0.4686053991317749,0.641509473323822,0.6511571407318115,0.645683228969574,0.7752810716629028,0.5390043258666992,0.4244614839553833,0.45291730761528015,0.6286283135414124,0.722925066947937,0.6370478272438049,0.5038046836853027,0.5204604864120483,0.5856051445007324,0.4704515337944031,0.5501731634140015,0.7089868783950806
a forest with houses in front,0.5421550273895264,0.512854814529419,0.41060659289360046,0.3677048683166504,0.5727141499519348,0.5730189085006714,0.5580722689628601,0.7616724967956543,0.4939308166503906,0.33625221252441406,0.4437792897224426,0.5625317096710205,0.6527345180511475,0.5698394775390625,0.4566679298877716,0.44124218821525574,0.5001211166381836,0.40482521057128906,0.45484453439712524,0.6327778100967407
a house with some trees with people standing on the grass,0.5400667786598206,0.557244598865509,0.4597579836845398,0.39931029081344604,0.6511585712432861,0.5391927361488342,0.48457807302474976,0.7363793849945068,0.5788506269454956,0.4079515039920807,0.4554029107093811,0.608304500579834,0.6702268123626709,0.6692129373550415,0.46346014738082886,0.5194042325019836,0.48167380690574646,0.4052242338657379,0.5279450416564941,0.6259331703186035
a man in black tuxedo standing,0.6933802366256714,0.5817385911941528,0.4577794671058655,0.40177732706069946,0.5596132874488831,0.4202752113342285,0.35824429988861084,0.5670334696769714,0.43650007247924805,0.5052807331085205,0.7800964117050171,0.5453936457633972,0.5471081733703613,0.6193622350692749,0.606772780418396,0.5414429903030396,0.4539392292499542,0.36323219537734985,0.4124484062194824,0.5012090802192688
a man with moustache in a black suit,0.6954898834228516,0.5337411165237427,0.3667484223842621,0.37220215797424316,0.5060933828353882,0.368441641330719,0.3127807080745697,0.5027081370353699,0.39865952730178833,0.4452742636203766,0.699731171131134,0.48625999689102173,0.4900861382484436,0.5898269414901733,0.6137875318527222,0.5189299583435059,0.3876664936542511,0.30845773220062256,0.39467740058898926,0.45344415307044983
