,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7159613370895386,0.5624909400939941,0.4434487223625183,0.4326896071434021,0.570603609085083,0.44012850522994995,0.3227429687976837,0.553964376449585,0.44514793157577515,0.4158637821674347,0.7355067133903503,0.48222658038139343,0.5392187833786011,0.5446206331253052,0.5448248386383057,0.5523918271064758,0.37977030873298645,0.4159705936908722,0.45799919962882996,0.5331289768218994
a black haired woman dressed in white,0.6308282017707825,0.7084229588508606,0.5303452610969543,0.5345767736434937,0.6464830040931702,0.5111637711524963,0.37040841579437256,0.634585976600647,0.5278633832931519,0.45626986026763916,0.5838778018951416,0.6989419460296631,0.6613273620605469,0.7473697066307068,0.5530228614807129,0.559825599193573,0.47008058428764343,0.513787567615509,0.5672937035560608,0.645811140537262
a black vase of red flowers in the red background,0.5539385080337524,0.6196368932723999,0.7219816446304321,0.5368793606758118,0.574675440788269,0.575240433216095,0.41235607862472534,0.6725692749023438,0.5549296140670776,0.45694154500961304,0.45106613636016846,0.6222372651100159,0.7646162509918213,0.6787595152854919,0.530064046382904,0.5685787200927734,0.5555883049964905,0.6744539141654968,0.563207745552063,0.6520530581474304
a duck,0.42693597078323364,0.4375150203704834,0.5876550078392029,0.6331769824028015,0.4339323043823242,0.5639472603797913,0.4265878200531006,0.5151175260543823,0.5060838460922241,0.5065275430679321,0.47730752825737,0.46093571186065674,0.4424609839916229,0.5010325908660889,0.565207839012146,0.5188527703285217,0.6392621994018555,0.47979599237442017,0.43844524025917053,0.5283203125
a family having dinner,0.5324175357818604,0.5409232378005981,0.5107216238975525,0.5056267976760864,0.7497996091842651,0.5263509750366211,0.4591341018676758,0.644090473651886,0.5055657625198364,0.4254518449306488,0.49708259105682373,0.6008462309837341,0.580223798751831,0.5591700077056885,0.4914010763168335,0.6156278252601624,0.5132100582122803,0.5504030585289001,0.6040126085281372,0.5712078809738159
a forest with 3 tall trees standing out,0.5421876907348633,0.6032480001449585,0.6755163073539734,0.66143798828125,0.5957356691360474,0.8097490668296814,0.6739742755889893,0.7517457604408264,0.7054519653320312,0.5853152275085449,0.488996297121048,0.6480764150619507,0.7320214509963989,0.6837605237960815,0.567286491394043,0.6228090524673462,0.7462208271026611,0.7083243727684021,0.6990413665771484,0.8165790438652039
a forest with a cabin in the middle,0.5503321886062622,0.6128088235855103,0.5588687658309937,0.5679491758346558,0.5990884304046631,0.727894127368927,0.6673690676689148,0.7897525429725647,0.6626962423324585,0.4404398500919342,0.4565477967262268,0.6311370134353638,0.7291454076766968,0.6833195686340332,0.5192112922668457,0.5481435060501099,0.5916796922683716,0.5623329877853394,0.6256742477416992,0.787827730178833
a forest with houses in front,0.552369236946106,0.5390056371688843,0.485553503036499,0.4796721339225769,0.5601409673690796,0.6603690981864929,0.5686328411102295,0.789666473865509,0.5948168039321899,0.3588356375694275,0.4485316276550293,0.5693618059158325,0.6778140068054199,0.6253482699394226,0.48113366961479187,0.46539509296417236,0.5105195641517639,0.5236842036247253,0.5233950614929199,0.7326198816299438
a house with some trees with people standing on the grass,0.600233793258667,0.5817666053771973,0.5246028304100037,0.5067406892776489,0.6510018110275269,0.6276974678039551,0.49117371439933777,0.7516082525253296,0.6541035175323486,0.4288817048072815,0.45219796895980835,0.6481915712356567,0.6865764856338501,0.7305806875228882,0.4620135426521301,0.5434588193893433,0.465818852186203,0.5318081378936768,0.6062901616096497,0.7333440780639648
a man in black tuxedo standing,0.6698496341705322,0.6264559030532837,0.511929988861084,0.4805551767349243,0.6051545143127441,0.48049765825271606,0.3680698275566101,0.5890709161758423,0.5203418135643005,0.49378451704978943,0.7815170288085938,0.5517193078994751,0.5767861604690552,0.6304594278335571,0.6168513894081116,0.5865436792373657,0.44037026166915894,0.45317763090133667,0.4868415594100952,0.5977371335029602
