,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7332165241241455,0.5348074436187744,0.46083834767341614,0.3214346766471863,0.553893506526947,0.4318462014198303,0.35542961955070496,0.46918022632598877,0.43912482261657715,0.418712317943573,0.6841540336608887,0.49865227937698364,0.5338865518569946,0.44077688455581665,0.5401144027709961,0.4962075352668762,0.36658957600593567,0.4444424510002136,0.49851110577583313,0.4501657783985138
a black haired woman dressed in white,0.6444683074951172,0.6596505045890808,0.5386756658554077,0.3725835680961609,0.6422008275985718,0.49301424622535706,0.4203740060329437,0.5671033263206482,0.5095745325088501,0.46003568172454834,0.5824562907218933,0.7020840644836426,0.6686191558837891,0.6274868249893188,0.5396624207496643,0.5295701622962952,0.4633467495441437,0.565535843372345,0.5903708934783936,0.5509307384490967
a black vase of red flowers in the red background,0.5786643028259277,0.6071372032165527,0.7329975366592407,0.3895623981952667,0.5622385144233704,0.5650227069854736,0.46133631467819214,0.6271075010299683,0.5611484050750732,0.4330493211746216,0.4541434645652771,0.6471481919288635,0.7648662328720093,0.570606529712677,0.4968853294849396,0.5558821558952332,0.5206802487373352,0.7191740274429321,0.5516527891159058,0.5905884504318237
a duck,0.4639701247215271,0.46829620003700256,0.5590769052505493,0.589163064956665,0.45762479305267334,0.5774624347686768,0.485451877117157,0.5883778929710388,0.5537129640579224,0.5280323624610901,0.5090758204460144,0.5049055814743042,0.4713345170021057,0.5531232357025146,0.533353865146637,0.5407384037971497,0.6412390470504761,0.4753406047821045,0.42630138993263245,0.5550687313079834
a family having dinner,0.5622552633285522,0.5100436806678772,0.5205580592155457,0.41256582736968994,0.7983636260032654,0.5143317580223083,0.504319429397583,0.5905159115791321,0.5410891771316528,0.4445495009422302,0.5126734972000122,0.669074296951294,0.577778697013855,0.508551836013794,0.4664298892021179,0.5844175815582275,0.490683913230896,0.5690202713012695,0.6394553184509277,0.5363103151321411
a forest with 3 tall trees standing out,0.5723444819450378,0.608776867389679,0.7009927034378052,0.6039310693740845,0.6063700318336487,0.7827808856964111,0.7212371826171875,0.7807596325874329,0.7194710373878479,0.5783923864364624,0.5219210982322693,0.6656757593154907,0.743824303150177,0.6581237316131592,0.5337401628494263,0.6072453260421753,0.7041774988174438,0.7285226583480835,0.6806113719940186,0.822455644607544
a forest with a cabin in the middle,0.576474130153656,0.5909034013748169,0.5868072509765625,0.4763566255569458,0.6061260104179382,0.6839795112609863,0.7108727693557739,0.7401123046875,0.6583207845687866,0.4511162042617798,0.46634018421173096,0.6770291328430176,0.7286026477813721,0.569132924079895,0.4856288433074951,0.5275673866271973,0.5285632610321045,0.6276667714118958,0.6282340288162231,0.7281405925750732
a forest with houses in front,0.5670925378799438,0.5108093023300171,0.5098928809165955,0.3988347053527832,0.5525866746902466,0.6073108911514282,0.6035891771316528,0.6694933772087097,0.5933378338813782,0.37338829040527344,0.4304749667644501,0.6129682660102844,0.6748512387275696,0.4873913824558258,0.4479514956474304,0.45204710960388184,0.4547727108001709,0.551972508430481,0.5410832166671753,0.6334645748138428
a house with some trees with people standing on the grass,0.6025569438934326,0.5560582876205444,0.5322846174240112,0.38068318367004395,0.6441001892089844,0.5934370756149292,0.5612314939498901,0.6549206972122192,0.6481618285179138,0.39888662099838257,0.45439377427101135,0.6931652426719666,0.7008708119392395,0.5460600256919861,0.44223472476005554,0.5136457681655884,0.4308244287967682,0.5695463418960571,0.6179612874984741,0.6501227021217346
a man in black tuxedo standing,0.6995275616645813,0.582391083240509,0.5279574990272522,0.3593531548976898,0.5919941067695618,0.477813184261322,0.4036116600036621,0.5140336751937866,0.4948105216026306,0.5083786845207214,0.7665074467658997,0.5679365396499634,0.5806002020835876,0.5214416980743408,0.6212685704231262,0.5381346940994263,0.43223750591278076,0.4913022518157959,0.5123443007469177,0.49670910835266113
a man with moustache in a black suit,0.7107220888137817,0.5302152633666992,0.4413492977619171,0.33509916067123413,0.5544923543930054,0.4252089262008667,0.35171735286712646,0.4475332498550415,0.4337182641029358,0.4254423677921295,0.6930221319198608,0.5227091908454895,0.5238761901855469,0.4628715217113495,0.6402086019515991,0.501956045627594,0.36032915115356445,0.44540974497795105,0.48463618755340576,0.4530112147331238
"a mother, a daughter and a son",0.6481863260269165,0.609268307685852,0.6007674932479858,0.4016428291797638,0.740114688873291,0.5357480645179749,0.49228784441947937,0.6071137189865112,0.5386186838150024,0.48109713196754456,0.5605583190917969,0.7951157093048096,0.7065231800079346,0.594357967376709,0.5061354637145996,0.5935899019241333,0.47141480445861816,0.628751277923584,0.6502997875213623,0.5776194334030151
a pot of flowers near the closed window in the back,0.46219342947006226,0.5665966868400574,0.7227717638015747,0.4003086984157562,0.5645384788513184,0.5724219083786011,0.518254280090332,0.6281453371047974,0.5817059278488159,0.4314894676208496,0.43227458000183105,0.5919311046600342,0.7699674963951111,0.5987738966941833,0.44879597425460815,0.5380717515945435,0.5465409159660339,0.7370243072509766,0.6069871187210083,0.622739851474762
a red haired woman in a green dress,0.5286620855331421,0.6121671199798584,0.5952281951904297,0.3956753611564636,0.5962438583374023,0.5313155055046082,0.44511061906814575,0.5689463019371033,0.547805905342102,0.5032579898834229,0.5832380056381226,0.586653470993042,0.6131079792976379,0.6469469666481018,0.589277982711792,0.5733166933059692,0.49057596921920776,0.5858086347579956,0.5468584299087524,0.5527291297912598
a statue of a man head,0.6738752126693726,0.5057799816131592,0.5001624822616577,0.38517117500305176,0.4783734083175659,0.48976024985313416,0.4160786271095276,0.48352521657943726,0.45503807067871094,0.43180331587791443,0.6022046804428101,0.54465651512146,0.48535287380218506,0.4948441982269287,0.7273789644241333,0.5488426685333252,0.4795277714729309,0.48419731855392456,0.4833811819553375,0.5046764612197876
bald men in black sitting in a dark room,0.6845683455467224,0.49301648139953613,0.4690708518028259,0.3190302848815918,0.7197043895721436,0.4628432095050812,0.404984712600708,0.4893956780433655,0.48463836312294006,0.4315252900123596,0.5784749984741211,0.6342454552650452,0.5442100167274475,0.4854280948638916,0.5660152435302734,0.6236735582351685,0.414080947637558,0.48817962408065796,0.5151171684265137,0.4857962727546692
forest with white tree barks,0.5091314911842346,0.5760021209716797,0.6906327605247498,0.6015797853469849,0.5554214715957642,0.7536569237709045,0.6720925569534302,0.8022072911262512,0.6645745038986206,0.568890392780304,0.4216742515563965,0.6180291175842285,0.7034463882446289,0.6440091729164124,0.4614870548248291,0.579458475112915,0.7188847064971924,0.7543898224830627,0.6876639127731323,0.8136254549026489
multiple jars of flowers,0.5754934549331665,0.6099464893341064,0.7695955634117126,0.43042248487472534,0.5852259993553162,0.6186890006065369,0.5018304586410522,0.6689704060554504,0.6147831678390503,0.5058223009109497,0.49488741159439087,0.6571571230888367,0.7837221622467041,0.5830256938934326,0.501244306564331,0.598351776599884,0.5801507234573364,0.7689228057861328,0.648334264755249,0.6364448070526123
people socializing downtown,0.5831535458564758,0.44919759035110474,0.45634496212005615,0.3577992916107178,0.6647766828536987,0.48898154497146606,0.4610539972782135,0.5653365254402161,0.5073708295822144,0.38323935866355896,0.4839787185192108,0.6648703813552856,0.5788094997406006,0.4451790452003479,0.4359424114227295,0.46607404947280884,0.4377295672893524,0.5120553374290466,0.6688843965530396,0.5393209457397461
some trees with a pond in the background,0.6071003675460815,0.5711593627929688,0.6182193160057068,0.5791170001029968,0.5939979553222656,0.733330249786377,0.6262993812561035,0.7799055576324463,0.6729434728622437,0.4963456988334656,0.5102565288543701,0.6751976609230042,0.6923897862434387,0.583399772644043,0.5098331570625305,0.5682744383811951,0.6455674171447754,0.640056312084198,0.6121859550476074,0.7974603176116943
