,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a bearded man in black sitting at a desk,0.7585136890411377,0.5710407495498657,0.455756813287735,0.5130626559257507,0.5662254095077515,0.5127288103103638,0.46110373735427856,0.5136117935180664,0.5534603595733643,0.4192339777946472,0.7577216625213623,0.4938853979110718,0.5048225522041321,0.5542128086090088,0.5395586490631104,0.48257389664649963,0.399854838848114,0.41515684127807617,0.47190970182418823,0.5114312171936035
a black haired woman dressed in white,0.6114079356193542,0.7231754064559937,0.5569590330123901,0.632362425327301,0.6452018618583679,0.6063802242279053,0.5367468595504761,0.6197106242179871,0.6486780643463135,0.5223787426948547,0.6655231714248657,0.6530254483222961,0.624813973903656,0.7676324844360352,0.5099107027053833,0.4718503952026367,0.4987366199493408,0.5061765909194946,0.587682843208313,0.6369301080703735
a black vase of red flowers in the red background,0.5122319459915161,0.6268126964569092,0.7558578252792358,0.6173321008682251,0.5462923049926758,0.6498575210571289,0.542312741279602,0.6730173230171204,0.6760190725326538,0.49095362424850464,0.5741620063781738,0.6452143788337708,0.7420195937156677,0.6868287324905396,0.5167261362075806,0.5026099681854248,0.5776369571685791,0.6659401655197144,0.579552948474884,0.6378089189529419
a duck,0.4273010790348053,0.4427984952926636,0.5564165115356445,0.6777671575546265,0.4373413920402527,0.5487983822822571,0.4871271848678589,0.5852509140968323,0.4588347375392914,0.4981091320514679,0.4631795585155487,0.5061366558074951,0.440748006105423,0.5200687646865845,0.5113738775253296,0.4923393130302429,0.6489297151565552,0.5083622932434082,0.4575474262237549,0.5782960057258606
a family having dinner,0.5719391107559204,0.5456793308258057,0.5282365083694458,0.5735378861427307,0.7272955179214478,0.5667203664779663,0.599970281124115,0.5860210061073303,0.6076550483703613,0.4064015746116638,0.5606802701950073,0.6102569699287415,0.548727810382843,0.5631848573684692,0.47897833585739136,0.5307658910751343,0.5335540771484375,0.5515940189361572,0.6259777545928955,0.5802056789398193
a forest with 3 tall trees standing out,0.540539562702179,0.6047972440719604,0.7114236950874329,0.7013953328132629,0.606728196144104,0.8154295086860657,0.7943947911262512,0.7620549201965332,0.7435826659202576,0.5431978702545166,0.5786579847335815,0.6714550256729126,0.7307671308517456,0.6899371147155762,0.5579530000686646,0.5604442954063416,0.798554539680481,0.7033421397209167,0.6980162262916565,0.8384519219398499
a forest with a cabin in the middle,0.5728480815887451,0.6204859018325806,0.5978220701217651,0.6340990662574768,0.603032648563385,0.7886264324188232,0.8195377588272095,0.7497187852859497,0.7978682518005371,0.42119354009628296,0.5563027858734131,0.6171104907989502,0.7097251415252686,0.6862604022026062,0.5030398368835449,0.462381511926651,0.6445624828338623,0.5564891695976257,0.635398268699646,0.7770068049430847
a forest with houses in front,0.5521215200424194,0.5517606735229492,0.5204150676727295,0.5528122186660767,0.5606374144554138,0.7619003057479858,0.7479856014251709,0.7227363586425781,0.7631893157958984,0.34683355689048767,0.5345386862754822,0.5645745992660522,0.6514291763305664,0.6191707849502563,0.45256638526916504,0.39661705493927,0.5502995252609253,0.4972717761993408,0.5497721433639526,0.6949759125709534
a house with some trees with people standing on the grass,0.577019453048706,0.5924310684204102,0.5469106435775757,0.5908782482147217,0.6508371233940125,0.7083339095115662,0.6624094247817993,0.6955610513687134,0.8261845111846924,0.39592522382736206,0.5905942916870117,0.6283994913101196,0.6780146360397339,0.7002866268157959,0.4634362459182739,0.47073835134506226,0.5185543894767761,0.5162389278411865,0.6389837265014648,0.7218969464302063
a man in black tuxedo standing,0.6860995292663574,0.6478832364082336,0.5389067530632019,0.5757002830505371,0.613638162612915,0.5722169876098633,0.5168145895004272,0.5783457159996033,0.6168543100357056,0.5405283570289612,0.8217647075653076,0.5592418909072876,0.5459001064300537,0.6557729840278625,0.5719362497329712,0.5267515182495117,0.45938730239868164,0.46014249324798584,0.5014806389808655,0.5805476307868958
